Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
"During depolarization of a nerve action potential, the membrane suddenly becomes much more permeable to which ion?",Phosphate,Na+,K+,Protein anions,2,,"Opening voltage-gated Na+ channels sharply increases Na+ permeability. Because Na+ is high outside and the inside is negative, Na+ rushes inward. That inward positive current drives the rapid depolarizing upstroke."
What causes the membrane potential to become less negative during depolarization?,Cl− is pumped out by the Na+-K+ pump,Proteins leave the cell,Na+ flows into the cell,K+ flows rapidly into the cell,3,,"Na+ is positively charged. When Na+ enters the cell, it adds positive charge to the interior, so the membrane potential moves from a negative value toward zero and then possibly above zero."
What does 'overshoot' mean in the nerve action potential diagram?,The membrane potential remains exactly at rest,K+ concentration outside becomes zero as the primary event in this diagram,The stimulus ends before threshold is reached,The membrane potential becomes positive above 0 mV,4,,"Overshoot is the part of the action potential above 0 mV. During this brief period, the inside of the membrane has become positive relative to the outside because inward Na+ current has driven the voltage past zero."
"According to the slides, in which case may the action potential reach only about 0 mV rather than showing a large positive overshoot?",Small neurons and many CNS neurons,Only smooth muscle of the uterus,Every ventricular myocyte,Large peripheral nerves only,1,,"Overshoot is the part of the action potential above 0 mV. During this brief period, the inside of the membrane has become positive relative to the outside because inward Na+ current has driven the voltage past zero."
What major ion-channel change initiates repolarization?,Ca2+ channels alone open and remain open as the main explanation given here,Na+ channels begin to close while K+ channels open more,Both Na+ and K+ channels permanently close,Na+-K+ pumps stop all ion movement,2,,"Repolarization starts when inward Na+ current falls because Na+ channels inactivate while outward K+ current rises because K+ channels open. Positive charge is therefore leaving faster than it is entering, driving Vm back negative."
What ion movement is mainly responsible for repolarization in the nerve fiber?,Ca2+ is pumped inward,Na+ diffuses inward,K+ diffuses outward,Protein anions diffuse outward,3,,"K+ leaves the cell through open K+ channels. Every K+ that exits carries positive charge out of the interior, so the inside becomes negative again. That outward K+ current is the main electrical event of repolarization."
What is the 'spike potential' of a neuron as labeled in the slides?,The slow diastolic depolarization of nodal tissue,Only the prolonged after-hyperpolarization,The resting membrane potential before stimulation during the state described in the question,The sharp rise and rapid fall of the action potential,4,,The 'spike' is the fast rise and fall of the neuronal action potential. It is fast because voltage-gated Na+ and K+ channels change permeability over milliseconds. Slower voltage changes after the spike are described separately as after-potentials.
What does the slide call the slower fall near the end of the neuronal action-potential process?,After-depolarization,Spatial summation,Threshold potential,Plateau phase,1,,The slide calls this slower portion after-depolarization. It occurs after the rapid spike and represents a slower return of membrane voltage rather than the main rapid repolarizing phase.
What does the slide call the prolonged tracing that overshoots in the hyperpolarizing direction?,Generator potential,After-hyperpolarization,Overshoot depolarization,Equilibrium plateau,2,,"Overshoot is the part of the action potential above 0 mV. During this brief period, the inside of the membrane has become positive relative to the outside because inward Na+ current has driven the voltage past zero."
What is the threshold condition for starting the positive-feedback rise of an action potential in the slides?,K+ entry becomes greater than Na+ exit,All ion movement stops,Na+ entry becomes greater than K+ exit,The membrane becomes impermeable to Na+,3,,"Threshold is reached when inward Na+ movement becomes strong enough to exceed outward K+ movement. That net inward positive current depolarizes the membrane further, which opens even more Na+ channels. The process therefore becomes regenerative instead of fading away."
How large a sudden rise in membrane potential is usually required to reach threshold according to the slides?,About 60–90 mV,About 120–150 mV,About 1–2 mV,About 15–30 mV,4,,The slide says a sudden depolarization of roughly 15-30 mV is usually needed. That shift brings Vm into the threshold region where enough voltage-gated Na+ channels open for positive feedback to become self-sustaining.
What threshold range is given in the action-potential initiation slide?,Approximately −50 to −70 mV,Exactly 0 mV in all cells,Approximately −100 to −120 mV,Approximately +50 to +70 mV,1,,The threshold region is roughly -70 to -50 mV in the slide. The exact threshold is not a universal single voltage; the key event is reaching a level at which inward Na+ current overwhelms outward K+ current.
Which two stimulus properties are emphasized on the 'Threshold for excitation' slide?,Temperature and pH only,Intensity and duration,Frequency and wavelength only,Color and shape,2,,"A weak stimulus may still be effective if it lasts long enough, whereas a very brief stimulus may need to be stronger. That is why the slide emphasizes both stimulus intensity and duration when discussing threshold."
What starts the Na+ positive-feedback loop shown in the diagram?,K+ efflux during repolarization,Complete Na+ channel inactivation,A depolarizing stimulus,Restoration of ion gradients by ATPase,3,,"A depolarizing stimulus opens some voltage-gated Na+ channels. Na+ enters, producing more depolarization, which opens still more Na+ channels. Each step amplifies the previous one, which is the defining feature of positive feedback."
"After voltage-gated Na+ channels open, what immediate change strengthens the positive-feedback loop?",Intracellular proteins diffuse out,K+ permeability falls to zero permanently,The Na+-K+ pump stops,Na+ permeability increases,4,,"When Na+ channels open, PNa increases, so Na+ can enter more rapidly. That inward positive current depolarizes the membrane further and recruits additional voltage-gated Na+ channels."
Which steps belong to the Na+ positive-feedback cycle shown?,Opening of voltage-gated Na+ channels,Rapid K+ efflux as the first step,Increased Na+ permeability,Increased Na+ flow into the cell,"1,3,4",,"The sequence is: depolarization opens voltage-gated Na+ channels → PNa rises → more Na+ enters → further depolarization. Because the output of each step strengthens the original depolarization, it is a positive-feedback loop."
What terminates the Na+ positive-feedback cycle in the diagram?,Inactivation of Na+ channels,A permanent increase in Na+ permeability,Opening of every K+ leak channel before depolarization,Removal of all extracellular sodium,1,,"The Na+ inactivation gate closes after a short delay. That stops the regenerative inward Na+ current even though the membrane is still depolarized, allowing K+ current to dominate and repolarization to begin."
What initiates the K+ negative-feedback sequence shown?,The Na+-K+ pump switching off,Depolarization of the membrane by Na+ influx,Hyperpolarization caused by protein influx,A fall in intracellular K+ before stimulation,2,,"Depolarization also activates voltage-gated K+ channels, but they open more slowly. Once open, K+ leaves the cell and reverses the voltage change that activated them. Because the response opposes the original depolarization, it is negative feedback."
How does opening voltage-gated K+ channels contribute to negative feedback?,It prevents any change in membrane potential,It increases Na+ influx and further depolarizes the membrane,It increases K+ efflux and drives repolarization,It causes a sustained Ca2+ plateau,3,,"Opening K+ channels raises PK, allowing more K+ to leave. The outward movement of positive charge makes the inside more negative and therefore opposes depolarization."
What happens to the activation gate of a voltage-gated Na+ channel when threshold-region depolarization is reached?,It becomes a K+ channel,It changes only after repolarization is complete,It closes permanently,It opens rapidly,4,,The Na+ activation gate opens very rapidly when threshold-region depolarization is reached. This sharply increases Na+ permeability and produces the fast inward Na+ current responsible for the action-potential upstroke.
How does the Na+ channel inactivation gate respond to the same depolarization?,It closes more slowly than the activation gate opens,It has no response to voltage,It opens faster than the activation gate,It remains permanently open in the process shown on the slide,1,,"The same depolarization that opens the activation gate also triggers the inactivation gate to close, but with a delay. That timing is crucial: Na+ can enter briefly, then the channel becomes unavailable even while the membrane is still depolarized."
Which Na+ channel state is shown during the upstroke after activation but before inactivation?,Inactivated with no prior opening,Activated/open,Resting with both gates closed to Na+ movement,Converted into a K+ channel,2,,"In the activated/open state, the activation gate has opened but the inactivation gate has not yet shut. This is the short window during which Na+ can flow rapidly into the cell."
At approximately what membrane-potential range does the slide say Na+ channel activation can occur?,Between about +70 and +90 mV,Only at exactly 0 mV,Between about −70 and −50 mV,Between about −140 and −120 mV,3,,The slide places Na+ channel activation in the roughly -70 to -50 mV range. Reaching this region allows enough activation gates to open for inward Na+ current to become regenerative.
How do voltage-gated K+ channels respond as membrane potential rises from about −90 mV toward zero?,They open instantly before Na+ channels,They inactivate before any K+ can leave,They remain closed throughout repolarization,They open slowly,4,,Voltage-gated K+ channels open more slowly than Na+ activation gates. That delay allows Na+ to produce the rapid upstroke first; then K+ efflux becomes strong enough to repolarize the membrane.
The slow opening of voltage-gated K+ channels occurs at about the same time as what Na+ channel event?,Na+ channel inactivation,Na+-K+ pump inhibition by ouabain,Initial resting leak of Na+,Recovery of the after-hyperpolarization,1,,Delayed K+ opening overlaps with Na+ channel inactivation. This is the key handoff from depolarization to repolarization: inward Na+ current falls while outward K+ current rises.
What is the direct result of opening voltage-gated K+ channels during the action potential?,Ca2+ is trapped outside,K+ diffuses outward,Na+ rapidly diffuses inward,Proteins cross the lipid bilayer,2,,"Opening the K+ channels creates a pathway for K+ to leave the cell down its concentration gradient. Because K+ is positively charged, this outward current makes the cell interior more negative."
Which mechanism re-establishes the Na+ and K+ ionic gradients after an action potential?,The Nernst equation,Voltage-gated Na+ channels alone,The Na+-K+ pump,Temporal summation,3,,"The rapid voltage change of an action potential is produced mainly by ion channels, not by the pump. Afterward, the Na+-K+ pump restores the original concentration gradients by moving Na+ back out and K+ back in."
How much can Na+-K+ pump activity increase after an action potential according to the slides?,Up to about twofold only,It always decreases to zero,Exactly twenty-fivefold,Up to about eightfold,4,,"After an action potential, Na+ has entered and K+ has left, slightly disturbing their concentration gradients. Increasing pump activity helps restore those gradients so the cell can continue functioning normally over repeated action potentials."
What ion stoichiometry is depicted for the Na+-K+ ATPase?,3 Na+ out and 2 K+ in,1 Na+ out and 1 K+ in in the specific mechanism shown,2 Na+ out and 3 K+ in,3 Na+ in and 3 K+ out,1,,"For each ATP used, the pump moves 3 Na+ out and 2 K+ in. Because one extra positive charge leaves the cell each cycle, the pump is electrogenic and makes the inside slightly more negative."
"During the absolute refractory period, what stimulus can trigger another action potential?",Any weak stimulus,"No stimulus, regardless of strength",Only a stimulus twice threshold,Only a long-duration stimulus,2,,"No stimulus can trigger another action potential during the absolute refractory period because too many voltage-gated Na+ channels are still in the inactivated state. They must reset before they can open again, so simply increasing stimulus strength cannot overcome this."
"During the relative refractory period, what is required to trigger excitation?",No stimulus at all in the specific mechanism shown,Only mechanical stimulation,A stronger-than-normal stimulus,A stimulus weaker than normal,3,,"During the relative refractory period, some Na+ channels have recovered, so another action potential is possible. However, K+ permeability may still be elevated and the membrane is less excitable, so a stronger-than-normal depolarization is required."
How does excitability change in the integrated refractory-period figure?,It is highest throughout the absolute period,It falls only after all channels return to rest,It remains constant from start to finish,It is zero during the absolute period and then progressively recovers during the relative period,4,,Excitability is zero during the absolute refractory period because Na+ channels are unavailable. It then gradually returns during the relative refractory period as Na+ channels recover and K+ conductance moves back toward its resting level.
"In the integrated channel/refractory figure, what happens before full excitability returns?",Na+ channels reset while K+ channels remain open for part of the recovery,All Na+ channels remain inactivated forever,K+ channels never open,Both channel types are fully reset at the peak of depolarization,1,,"Na+ channels begin resetting before K+ conductance has completely normalized. The cell can therefore fire again, but the persistent outward K+ influence makes threshold harder to reach, which defines the relative refractory period."
Which THREE properties of action potentials are explicitly listed in the slides?,Propagation occurs without decrement,Depolarization must exceed threshold,Amplitude increases continuously with distance,The response is all-or-none,"1,2,4",,"Action potentials require threshold, are all-or-none once triggered, and propagate without decrement. That means the membrane must first reach a critical voltage; once it does, the response is full-sized and is regenerated as it travels rather than fading away."
What does 'all-or-none' mean for the action potential in this slide set?,The action potential becomes smaller with every millimeter traveled,"Once threshold is reached, a full action potential occurs rather than a graded partial one",Stronger stimuli always produce taller action potentials,Subthreshold stimuli produce a half-sized action potential,2,,"A subthreshold depolarization does not produce a partial action potential. Once threshold is crossed, the positive-feedback opening of Na+ channels generates the full stereotyped response. Increasing stimulus strength beyond threshold does not create a proportionally taller action potential."
What does propagation 'without decrement' mean?,Only local potentials can travel along an axon,The membrane must remain depolarized permanently,The action potential does not progressively lose amplitude as it travels,The action potential becomes smaller with distance in the process shown on the slide,3,,"The action potential does not merely passively spread from one end of the axon to the other. Each new segment of membrane reaches threshold and generates a new full action potential, so amplitude is preserved rather than gradually fading."
"In continuous conduction, where does the action potential travel after a point on a nerve fiber is stimulated?",Only through the cell nucleus,Only toward the original stimulus site,Only across myelinated nodes in the specific mechanism shown in this slide set,Away from the stimulus through the membrane and its branches,4,,"Current from an active region spreads into the neighboring resting membrane and depolarizes it. Once that neighboring region reaches threshold, it generates its own action potential. Repeating this process produces continuous propagation along the membrane and into branches."
What is the basic effect of local current during propagation?,It depolarizes adjacent membrane so the action potential can continue,It removes the resting ion gradients before the signal arrives during the state described in the question,It prevents neighboring membrane from reaching threshold,It permanently closes all downstream ion channels,1,,"Local current carries positive charge from a depolarized region into adjacent resting membrane. That makes the neighboring region less negative and can bring it to threshold, allowing the action potential to regenerate there."
What is saltatory conduction?,A smooth-muscle plateau caused only by calcium,Conduction in which depolarization occurs at nodes of Ranvier along a myelinated axon,A graded potential that never reaches threshold,A continuous action potential in an unmyelinated membrane with every segment depolarizing,2,,"Myelin electrically insulates the internodal membrane, so full action potentials are regenerated mainly at the exposed nodes of Ranvier. The signal therefore appears to 'jump' from node to node rather than requiring every tiny membrane segment to depolarize fully."
What effect does saltatory conduction have on nerve transmission velocity?,It always slows conduction,It stops conduction at each node,It increases velocity,It has no effect on velocity,3,,Saltatory conduction is faster because the axon does not have to regenerate an action potential continuously along every micrometer of membrane. Depolarizing current travels rapidly beneath the myelin and the full spike is renewed mainly at the nodes.
Why does saltatory conduction conserve axonal energy according to the slides?,K+ never leaves the axon,Every internodal membrane segment must fully depolarize,The Na+-K+ pump is absent from myelinated axons,Only the nodes depolarize,4,,"Only the nodal membrane undergoes large transmembrane Na+ and K+ fluxes. Because fewer membrane regions need their ion gradients restored afterward, less pumping work is required."
What structure is labeled as the gap between myelinated segments where depolarization occurs?,Node of Ranvier,SA node,Purkinje fiber in the specific mechanism shown,Activation gate,1,,"A node of Ranvier is the exposed gap between myelinated segments. Because the nodal membrane is where the action potential is regenerated, these gaps are essential for saltatory conduction."
Which tissues are specifically named on the slides for the fast cardiac action potential with phases 0–4?,Skeletal muscle and macrophages,Ventricular myocardium and Purkinje fibers,Atrial tissue only,SA nodal tissue and intestinal smooth muscle,2,,The slides use ventricular myocardium and Purkinje fibers for the fast-response cardiac action potential. This waveform has the familiar phases 0 through 4 and a prominent phase-2 plateau.
What ion movement dominates phase 0 of the ventricular/Purkinje action potential?,Protein-anion influx,Rapid K+ influx,Rapid Na+ influx,Slow Na+ efflux,3,,Phase 0 is the rapid upstroke caused by rapid Na+ influx. A sudden increase in Na+ permeability brings positive charge into the cell and rapidly depolarizes the membrane.
What is the main ion movement noted for phase 1 of the ventricular/Purkinje action potential?,Cl− moves in only,Ca2+ moves out,Na+ moves in rapidly,K+ moves out,4,,Phase 1 is a brief early repolarizing notch after the rapid phase-0 upstroke. The slide associates it with K+ moving out of the cell.
What defines phase 2 of the ventricular/Purkinje action potential?,A plateau with Ca2+ influx and K+ efflux,Complete absence of ionic current,Rapid Na+ influx without K+ movement,Only Na+-K+ pump activity,1,,"Phase 2 is the plateau because inward Ca2+ current and outward K+ current oppose one another. Instead of repolarizing immediately, the membrane remains depolarized for a prolonged interval."
What ion movement dominates phase 3 of the ventricular/Purkinje action potential?,Ca2+ influx only,K+ efflux,Protein efflux,Na+ influx,2,,"Phase 3 is rapid repolarization. Outward K+ current dominates, removing positive charge from the cell and returning Vm toward its resting negative value."
