Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
"At a myotendinous junction, tendon collagen becomes continuous with what?",The connective tissue layers surrounding muscle fibers,The sarcoplasmic reticulum,The nuclei of satellite cells,The thin actin filaments directly in the normal histologic arrangement,1,,"Dense collagen fibers of tendon are continuous with the muscle connective tissue layers, creating a strong force-transmitting unit."
A laminin immunostain around individual skeletal muscle fibers primarily highlights what structure?,The external lamina associated with the endomysium,The A band only,The M line,The thick myosin filament in the adult tissue described,1,,"The slide notes that laminin specifically stains the external lamina around muscle fibers, which is associated with the endomysium."
Select the connective tissue sheaths of skeletal muscle.,Endomysium,Sarcomere,Perimysium,Epimysium,"1,3,4",,"Epimysium surrounds the whole muscle, perimysium surrounds fascicles, and endomysium surrounds individual fibers."
Which connective tissue sheath is continuous with fascia and tendon at the outer surface of a skeletal muscle?,Z disc,Endomysium,Sarcolemma,Epimysium,4,,The epimysium is the thick outer connective tissue layer and is continuous with fascia and tendon.
Which layer is described as a delicate layer of reticular fibers and scattered fibroblasts around individual muscle fibers?,Tendon,Epimysium,Endomysium,Perimysium as the primary mechanism in this tissue,3,,Endomysium is a very thin connective tissue layer made of delicate fibers and fibroblasts around each muscle fiber.
What are myofibrils?,Long cylindrical bundles of contractile filaments inside a muscle fiber,Connective tissue bundles around fascicles as the primary mechanism in this tissue,Branches of a motor axon,Membrane vesicles storing acetylcholine,1,,"The sarcoplasm of skeletal muscle is filled mainly by parallel myofibrils, which contain thick and thin myofilaments."
What repeated structural unit makes up a myofibril?,Motor unit,Triad,Fascicle,Sarcomere,4,,Myofibrils consist of sarcomeres arranged end to end.
A sarcomere extends from what to what?,M line to M line,Z disc to Z disc,T-tubule to T-tubule,A band to A band,2,,The sarcomere is the repeating contractile unit between two Z discs.
What produces the visible cross-striations of skeletal muscle?,Lateral alignment of repeating A and I bands in adjacent myofibrils,Alternating nuclei and mitochondria,Rows of satellite cells,Alternating epimysium and perimysium during the process described in the chapter,1,,"Sarcomeres align laterally among adjacent myofibrils, so their dark A bands and light I bands create transverse striations."
Which band of a sarcomere is dark staining?,A band,Synaptic cleft,Z disc,I band,1,,The A band is the darker region containing the full length of thick myosin filaments and areas of overlap with thin filaments.
Which band of a sarcomere is light staining?,M line,I band,H zone only,A band,2,,I bands are lighter because they contain thin filaments without thick-filament overlap.
What bisects each I band?,Z disc,Tendon organ,H zone,M line,1,,"Each I band is bisected by a dense Z disc, which marks the boundary between sarcomeres."
What is found throughout the full A band?,Only T-tubules,Only thin actin filaments,Thick myosin filaments,Only collagen fibers,3,,The A band corresponds to the length of the thick myosin filaments.
Which part of the A band contains only thick filaments and no thin filament overlap?,Z disc,I band,H zone,Endomysium,3,,The central H zone is lighter because it contains thick filament regions without overlapping thin filaments.
What bisects the H zone?,Z disc,Motor end plate,I band,M line,4,,The M line runs through the center of the H zone and helps organize thick filaments.
Which protein of the M line binds and holds thick filaments in place?,Dystrophin,Myomesin,Troponin C,Laminin,2,,Myomesin is a myosin-binding protein at the M line that helps hold thick filaments in place.
Which enzyme at the M line helps regenerate ATP from phosphocreatine and ADP?,Acetylcholinesterase,Lysyl oxidase,Creatine kinase,Myosin light-chain kinase,3,,"Creatine kinase at the M line transfers phosphate from phosphocreatine to ADP, helping supply ATP during contraction."
Which protein anchors thin actin filaments to the Z disc?,Calmodulin,Myomesin,Alpha-actinin,Dystrophin,3,,Alpha-actinin in the Z disc binds and anchors thin actin filaments.
Which giant elastic protein connects thick filaments to the Z disc and helps provide springlike support?,Laminin,Titin,Troponin,Desmin,2,,Titin spans from the thick filament toward the Z disc and has scaffolding and elastic properties.
Which protein lies along thin filaments and helps specify their length during myogenesis?,Fibrillin,Nebulin,Perlecan,Myomesin,2,,Nebulin binds laterally along thin filaments and helps specify actin filament length.
What is the principal protein of a thick myofilament?,Actin,Tropomyosin,Myosin,Collagen,3,,Thick filaments are bundles of myosin molecules.
Each thick filament contains approximately how many myosin molecules according to the chapter figure?,About 2-5,About 200-500,"About 20,000-50,000",Exactly 6,2,,The figure states that a thick myofilament contains roughly 200-500 myosin molecules.
What is the approximate diameter of a thick myofilament?,15 nm,8 nm,100 μm,1.5 μm,1,,The chapter describes thick myofilaments as approximately 15 nm in diameter.
What is the approximate diameter of a thin filament?,8 nm,10 μm,100 nm,15 nm,1,,Thin filaments are described as approximately 8 nm in diameter.
Which three components make up a thin filament?,"Myosin, titin, and collagen","Desmin, dystrophin, and myomesin under normal conditions","Actin, laminin, and elastin","F-actin, tropomyosin, and troponin",4,,Thin filaments contain F-actin plus the regulatory proteins tropomyosin and troponin.
What is F-actin?,A myosin light chain,A membrane calcium channel,A polymer formed from G-actin monomers,A collagen bundle in endomysium,3,,"The thin filament contains F-actin, which is a helical polymer built from G-actin monomers."
What important site is present on each G-actin monomer?,A myosin-binding site,An acetylcholine receptor,A sodium-potassium pump,A collagen-binding integrin only,1,,Each G-actin monomer has a site that can bind a myosin head when tropomyosin is moved away.
What is the role of tropomyosin in resting skeletal muscle?,It forms the Z disc,It hydrolyzes ATP,It covers myosin-binding sites on actin,It stores calcium in the SR,3,,"At rest, tropomyosin lies over the myosin-binding sites on F-actin, preventing crossbridge formation."
Which troponin subunit binds calcium?,Troponin T,Troponin C,Troponin I,Myomesin,2,,Troponin C is the calcium-binding subunit of the troponin complex.
Which troponin subunit attaches the troponin complex to tropomyosin?,Troponin C,Troponin I,Alpha-actinin,Troponin T,4,,Troponin T binds tropomyosin and anchors the troponin complex to it.
Which troponin subunit regulates the actin-myosin interaction?,Troponin T,Titin,Troponin C,Troponin I,4,,Troponin I is the inhibitory/regulatory subunit that participates in controlling actin-myosin interaction.
Which proteins are structural or accessory components of the skeletal muscle sarcomere rather than the primary thick/thin contractile proteins?,Myomesin,Titin,Laminin,Nebulin,"1,2,4",,"Titin, nebulin, and myomesin are accessory sarcomeric proteins. Laminin is an extracellular matrix protein of the external lamina."
Which component remains the same length during skeletal muscle contraction?,The I band,The H zone,The whole sarcomere,The A band,4,,"Thick filaments do not shorten, so the A band remains constant in length while overlap with thin filaments increases."
What happens to the I band during contraction?,It shortens,It stays fixed because actin shortens,It lengthens,It becomes the M line,1,,"As thin filaments slide farther over thick filaments, the non-overlap region of thin filament in the I band becomes shorter."
What happens to the H zone during contraction?,It remains identical because myosin slides outward,It becomes narrower,It is converted into an I band,It becomes wider,2,,The H zone shrinks as thin filaments slide toward the center of the sarcomere and overlap more of the thick filaments.
What happens to the distance between Z discs during contraction?,It decreases,It remains fixed,It becomes equal to the A-band width,It increases,1,,The sarcomere shortens as its Z discs are drawn closer together.
"During contraction, what happens to the lengths of the actin and myosin filaments themselves?",Both filaments shorten,Only actin shortens,Only myosin shortens,They remain essentially unchanged,4,,"Sliding-filament contraction changes filament overlap, not the length of the thick or thin filaments."
What are T-tubules in skeletal muscle?,Deep invaginations of the sarcolemma,Extensions of the epimysium,Branches of the sarcoplasmic reticulum,Bundles of myosin,1,,T-tubules are tubular infoldings of the sarcolemma that carry depolarization deep into the muscle fiber.
Where are skeletal muscle T-tubules located relative to the sarcomere?,Only at the myotendinous junction,Inside the Z disc,Near the A-I junctions,At the center of the H zone only,3,,Skeletal muscle T-tubules encircle myofibrils near the A-band/I-band boundaries.
What is a skeletal muscle triad?,One T-tubule plus two terminal cisternae of sarcoplasmic reticulum,One Z disc plus two I bands,A motor neuron plus two muscle fibers,Three myosin thick filaments,1,,A triad consists of a central T-tubule flanked by two terminal cisternae of the SR.
What is stored and released by the sarcoplasmic reticulum to initiate contraction?,Collagen,Calcium ions,Acetylcholine,Myoglobin,2,,The sarcoplasmic reticulum sequesters calcium and releases it when depolarization reaches the triads.
What is the immediate effect of sarcolemmal depolarization at a triad?,Release collagen from endomysium,Cause satellite cell mitosis,Directly split actin filaments,Trigger calcium release from the sarcoplasmic reticulum,4,,Depolarization in the T-tubule couples to the SR and triggers calcium release into the sarcoplasm.
"At rest, why can myosin heads not strongly bind actin?",The troponin-tropomyosin complex blocks the binding sites,Actin is outside the sarcomere,ATP is absent from the cell,Myosin heads are trapped in the nucleus,1,,"In resting muscle, tropomyosin covers the myosin-binding sites on actin."
What happens when calcium binds troponin C?,Myosin is degraded,Actin leaves the Z disc,Troponin changes conformation and moves tropomyosin away from actin's binding sites,Calcium is immediately pumped out of the cell,3,,"Calcium binding changes the troponin complex and shifts tropomyosin, exposing myosin-binding sites on actin."
What structure forms when a myosin head binds an exposed site on actin?,Crossbridge,Fascicle,Intercalated disc,Triad,1,,Binding between a myosin head and actin creates a crossbridge between thick and thin filaments.
What supplies the energy for the myosin head pivot during skeletal muscle contraction?,ATP hydrolysis,Acetylcholine synthesis,Collagen breakdown,Passive diffusion of sodium alone,1,,Myosin ATPase activity hydrolyzes ATP and provides energy for the conformational changes of the crossbridge cycle.
What event allows a myosin head to detach from actin?,Binding of collagen,Formation of a desmosome,Binding of another ATP molecule to myosin,Release of troponin from the Z disc,3,,"After the power stroke, ATP binding to myosin causes the head to detach from actin."
Which sequence best describes the repeating crossbridge cycle in the provided chapter?,"Attach, pivot, detach, return","Bind collagen, depolarize, secrete, relax","Stretch, mitose, branch, scar","Detach, fuse, divide, calcify",1,,The text summarizes the cycle as repeated attach-pivot-detach-return events while calcium and ATP are present.
What ends skeletal muscle contraction after neural stimulation stops?,Myosin filaments are destroyed,The Z discs dissolve,Calcium is resequestered into the sarcoplasmic reticulum,The epimysium blocks all sodium,3,,"When stimulation ends, free calcium falls as it is pumped back into the SR; tropomyosin again covers actin binding sites."
What causes rigor mortis according to the chapter?,Permanent destruction of all actin filaments under normal conditions,Complete absence of calcium from muscle,Excess ATP prevents crossbridge formation,Absence of ATP prevents myosin from detaching from actin,4,,"After death, mitochondrial ATP production stops. Without ATP, actin-myosin crossbridges cannot detach and muscle becomes rigid."
A resting sarcomere has an A band of 1.5 μm. What happens to A-band length when the sarcomere shortens?,It doubles to 3.0 μm,It becomes shorter than 1.5 μm,It disappears completely,It remains 1.5 μm,4,,"The A band reflects thick-filament length, which does not change during sliding-filament contraction."
Which changes occur during normal skeletal muscle contraction?,Z discs move closer together,H zones narrow,I bands shorten,A bands shorten markedly,"1,2,3",,"Sarcomeres shorten because overlap increases. The I band and H zone shrink, but A-band length remains constant."
What neurotransmitter is released at the skeletal neuromuscular junction?,Acetylcholine,Atrial natriuretic factor,Norepinephrine only,Histamine,1,,Motor axon terminals at skeletal muscle contain synaptic vesicles filled with acetylcholine.
What is another name for the neuromuscular junction?,Dense body in the adult tissue described,H zone,M line,Motor end plate,4,,The skeletal muscle neuromuscular junction is also called the motor end plate or myoneural junction.
Where are acetylcholine receptors concentrated at the neuromuscular junction?,On myosin tails,On the folded postsynaptic sarcolemma,Inside the epimysium,In the tendon collagen,2,,Junctional folds increase postsynaptic membrane area and concentrate acetylcholine receptors.
What happens when acetylcholine binds its receptor at the motor end plate?,The SR directly secretes acetylcholine in the normal histologic arrangement,The receptor releases collagen,Satellite cells fuse immediately,A nonselective cation channel opens and depolarizes the sarcolemma,4,,"ACh receptor activation opens a cation channel, leading to depolarization and a muscle action potential."
Which enzyme rapidly removes free acetylcholine from the synaptic cleft?,Myosin ATPase,Acetylcholinesterase,Creatine kinase,Myosin light-chain kinase,2,,Acetylcholinesterase breaks down free acetylcholine and prevents prolonged receptor stimulation.
What is a motor unit?,One muscle fiber and all its sarcomeres as the primary mechanism in this tissue,One fascicle with its perimysium,One motor axon and all muscle fibers innervated by its branches,One T-tubule and two terminal cisternae,3,,A motor unit includes a single motor neuron axon and every skeletal muscle fiber supplied by its terminal branches.
Which arrangement provides the greatest precision of skeletal muscle control?,A single motor neuron innervating hundreds of fibers,No motor end plates,All fibers sharing one T-tubule,A motor neuron innervating very few muscle fibers,4,,Fine control is achieved with small motor units; extraocular muscles can have nearly one-to-one innervation.
Why can a whole skeletal muscle produce graded levels of force even though individual fibers contract all-or-none?,Different numbers and sizes of motor units can be recruited,Each sarcomere contracts halfway,Myosin filaments can become shorter during the process described in the chapter,ACh receptors change into collagen,1,,"Individual fibers are all-or-none, but whole-muscle force varies by recruiting different motor units and different numbers of fibers."
"Before reaching muscle fibers, where do myelinated motor nerves branch within skeletal muscle?",Perimysium,Inside the Z disc,Inside the H zone,Within the myosin filament,1,,Motor nerves branch within the perimysium and then send smaller terminal twigs through endomysium to individual fibers.
What covers the terminal branches of motor axons near muscle fibers?,Adipocytes,Chondrocytes,Extensions of Schwann cells,Osteoblasts,3,,The terminal axon branches are covered by the last Schwann cell as they approach the motor end plate.
What does a muscle spindle primarily detect?,Sodium excretion,Changes in muscle length or stretch,Collagen synthesis,Blood oxygen tension during the process described in the chapter,2,,Muscle spindles are stretch receptors that monitor changes in the length of surrounding muscle.
What type of specialized muscle fibers are located inside a muscle spindle?,Extrafusal fibers only,Intrafusal fibers,Smooth muscle fibers,Purkinje fibers,2,,Muscle spindles contain specialized intrafusal muscle fibers wrapped by sensory nerve endings.
What do Golgi tendon organs primarily detect?,Atrial pressure directly,Blood glucose,Sarcomere pH,Tension in tendons,4,,Golgi tendon organs monitor changes in tension within tendons produced by muscle contraction.
Where are Golgi tendon organs located?,Inside intercalated discs,At the M line of each sarcomere,Inside the nucleus of muscle fibers,Among collagen bundles at myotendinous junctions,4,,Tendon organs are encapsulated sensory structures associated with collagen bundles at myotendinous junctions.
What can Golgi tendon organs do when tension becomes excessive?,Release atrial natriuretic factor,Create new T-tubules,Help inhibit motor nerve activity,Stimulate uncontrolled hyperplasia,3,,The textbook states that tendon organs can inhibit motor nerve activity when tension becomes excessive.
"Which skeletal muscle fiber type is slow, fatigue-resistant, and rich in mitochondria and capillaries?",Type IIb fast glycolytic,Type IIa fast oxidative-glycolytic,Smooth muscle fiber,Type I slow oxidative,4,,"Type I fibers rely heavily on oxidative phosphorylation and have many mitochondria, capillaries, and abundant myoglobin."
Which skeletal muscle fiber type has high myoglobin and appears red?,Dense regular tendon,Type I slow oxidative,Type IIb fast glycolytic,Smooth muscle,2,,Slow oxidative fibers contain abundant myoglobin and are red in fresh tissue.
Which skeletal muscle fiber type has sparse mitochondria and capillaries and depends mainly on anaerobic glycolysis?,Type I slow oxidative,Type IIb fast glycolytic,Type IIa fast oxidative-glycolytic,Cardiac muscle,2,,Fast glycolytic fibers have few mitochondria and capillaries and derive much of their ATP from anaerobic glycolysis.
Which fiber type typically has the highest glycogen content?,Cardiac atrial muscle,Type I slow oxidative,Type IIb fast glycolytic,Type IIa fast oxidative-glycolytic,3,,The comparison table lists high glycogen content in type IIb fast glycolytic fibers.
Which fiber type is intermediate between slow oxidative and fast glycolytic fibers?,Type I slow oxidative,Cardiac Purkinje fiber,Type IIa fast oxidative-glycolytic,Type IIb fast glycolytic in the normal histologic arrangement,3,,Type IIa fibers combine oxidative and glycolytic characteristics and are intermediate in many features.
Which skeletal muscle fiber type typically has the smallest diameter?,All types are identical,Type IIa fast oxidative-glycolytic,Type I slow oxidative,Type IIb fast glycolytic,3,,"The fiber-type table lists type I fibers as small, type IIa intermediate, and type IIb large."
Which skeletal muscle fiber type typically forms the largest motor units?,Type IIa fast oxidative-glycolytic,Type I slow oxidative,Type IIb fast glycolytic,All motor units are the same size,3,,Fast glycolytic type IIb fibers are associated with large motor units in the table.
Which fiber type is common in postural muscles of the back?,Only smooth muscle,Cardiac muscle,Type I slow oxidative,Type IIb fast glycolytic,3,,The table lists postural muscles of the back as a typical location for type I slow oxidative fibers.
Which fiber type is listed as typical in extraocular muscles?,Smooth muscle,Type IIb fast glycolytic,Type I slow oxidative,Type IIa only,2,,The chapter table lists extraocular muscles as a typical major location of fast glycolytic type IIb fibers.
What largely determines whether a skeletal muscle fiber contracts rapidly or slowly?,The myosin isoform and its rate of ATP hydrolysis,The number of nuclei only,The amount of tendon collagen only under normal conditions,The thickness of epimysium,1,,Fast versus slow contraction is largely related to different myosin isoforms with different maximal ATPase rates.
Select features characteristic of Type I slow oxidative skeletal muscle fibers.,Numerous mitochondria,High myoglobin content,Numerous capillaries,High anaerobic glycolysis as the major ATP source,"1,2,3",,"Type I fibers have abundant mitochondria and capillaries, high myoglobin, and mainly use oxidative phosphorylation."
Where are cardiac muscle nuclei usually located?,Cardiac cells have no nuclei,Peripherally beneath the sarcolemma,Centrally within the cell,Only in intercalated discs,3,,"Cardiac muscle cells usually have one centrally located nucleus, sometimes two."
What distinctive junctional structure links adjacent cardiac muscle cells?,Triad,Motor end plate,Intercalated disc,Dense body,3,,Intercalated discs are unique interfaces between adjacent cardiac muscle cells.
Which junctions in transverse portions of intercalated discs provide strong mechanical adhesion?,Tight junctions only,Neuromuscular junctions,Desmosomes and fascia adherentes,Hemidesmosomes and cilia,3,,Transverse parts of intercalated discs contain many desmosomes and fascia adherens junctions for firm attachment.
Which junctions in intercalated discs provide ionic continuity between cardiac cells?,Hemidesmosomes,Gap junctions,Desmosomes only,Motor end plates,2,,Gap junctions allow ion flow from cell to cell and function as electrical synapses.
Why do gap junctions help cardiac muscle cells contract as a functional unit?,They convert cardiac cells into multinucleated fibers in the adult tissue described,They directly synthesize ATP,They secrete collagen into the sarcomere,They allow rapid spread of electrical impulses between adjacent cells,4,,"Gap junctions provide ionic continuity, permitting rapid impulse conduction through neighboring cardiac muscle cells."
"Compared with skeletal muscle, how is the cardiac sarcoplasmic reticulum organized?",It is absent in all cardiac cells,It forms dense bodies instead,It is much more extensive,It is less well developed,4,,Cardiac muscle has a less well-organized SR than skeletal muscle.
What structure typically replaces the skeletal-muscle triad in cardiac muscle?,Dyad,Tetrad,Motor unit,Muscle spindle,1,,"Cardiac muscle typically has a T-tubule associated with one terminal cistern, forming a dyad rather than a triad."
Where are cardiac T-tubules commonly positioned relative to the sarcomere?,Near Z discs,Inside intercalated discs,At A-I junctions like skeletal muscle,Only inside the H zone,1,,The comparison table lists cardiac T-tubules in dyads at the Z discs.
What is unusually abundant in cardiac muscle cells compared with many other muscle cells?,Collagen inside sarcomeres,Multiple peripheral nuclei,Mitochondria,Large numbers of satellite cells,3,,Mitochondria can occupy up to about 40% of cardiac muscle cell volume.
What is the major fuel of the heart according to the chapter?,Fatty acids,Collagen peptides,Acetylcholine,Only glycogen,1,,The chapter notes that fatty acids are the major fuel of the heart and may be stored as triglyceride droplets.
What initiates the heart's rhythmic contractions?,Specialized myocardial cells in impulse-generating and conducting nodes,Somatic motor end plates in the normal histologic arrangement in this context,Satellite cells,Golgi tendon organs,1,,Cardiac contraction is intrinsic; specialized myocardial cells in nodes initiate and coordinate rhythmic impulses.
How does sympathetic autonomic input affect cardiac contraction rate?,It converts cardiac muscle to smooth muscle,It accelerates the frequency of impulses,It decreases the frequency,It stops impulse formation completely,2,,Sympathetic input increases the rate of cardiac impulse generation.
How does parasympathetic input affect cardiac contraction rate?,It triggers hyperplasia,It increases the rate,It decreases the frequency of impulses,It causes skeletal-type motor end plates,3,,Parasympathetic input slows the frequency of impulses at the cardiac conducting nodes.
What hormone is stored in secretory granules of atrial cardiac muscle cells?,Troponin C,Atrial natriuretic factor,Acetylcholine,Myosin light-chain kinase,2,,"Atrial granules contain atrial natriuretic factor, giving atrial myocytes an endocrine function."
What is a major renal effect of atrial natriuretic factor?,Increase collagen deposition in glomeruli,Promote sodium and water retention,Promote sodium and water loss,Stop all renal filtration,3,,"ANF acts on the kidneys to increase sodium and water loss, producing natriuresis and diuresis."
Which chamber's muscle is thicker because it pumps blood through the cardiovascular system?,Only the sinoatrial node,Atrial muscle,All chambers have equal thickness,Ventricular muscle,4,,The ventricles require thicker muscle because they generate the pressure needed to pump blood.
Which muscle type lacks muscle satellite cells and therefore has very poor regenerative capacity?,Smooth muscle,Skeletal muscle,All three equally,Cardiac muscle,4,,Adult cardiac muscle lacks satellite cells and has very little regenerative capacity after injury.
Select features of cardiac muscle cells.,Central nuclei,Intercalated discs,Peripheral rows of many nuclei,Striations,"1,2,4",,"Cardiac cells are striated, usually have one or two central nuclei, and connect through intercalated discs."
What is the typical shape of a smooth muscle cell?,Branched striated cell,Fusiform with tapered ends,Flat polygonal epithelial plate,Long multinucleated cylinder,2,,"Smooth muscle cells are elongated, tapering, fusiform cells."
Where is the nucleus located in a smooth muscle cell?,At the myotendinous junction,Centrally at the widest part of the cell,Inside a Z disc,Peripherally beneath the sarcolemma,2,,Smooth muscle cells have a single elongated central nucleus at the cell's widest region.
Which muscle type lacks T-tubules?,Both skeletal and cardiac,Skeletal muscle,Cardiac muscle,Smooth muscle,4,,Smooth muscle has no transverse tubule system.
What membrane structures in smooth muscle may serve some functions analogous to T-tubules?,Z discs,Motor end plates,Intercalated discs,Caveolae,4,,Smooth muscle caveolae contain signaling components and ion channels involved in calcium handling.
Why does smooth muscle lack visible striations?,It contains no actin or myosin,Its thick and thin filaments are not organized into sarcomeres,It lacks nuclei,It has no calcium,2,,"Smooth muscle contains actin and myosin, but the filaments crisscross obliquely rather than forming repeating sarcomeres."
Which regulatory protein present in skeletal and cardiac muscle is absent from smooth muscle?,Actin,Myosin,Tropomyosin,Troponin,4,,Smooth muscle thin filaments lack troponin; calcium regulation instead uses calmodulin and MLCK.
What protein binds calcium to initiate smooth muscle contraction?,Calmodulin,Dystrophin,Troponin C,Myomesin,1,,"In smooth muscle, calcium binds calmodulin rather than troponin C."
What enzyme is activated by the calcium-calmodulin complex in smooth muscle?,Acetylcholinesterase under normal conditions,Lysyl oxidase,Myosin light-chain kinase,Creatine kinase,3,,"Calcium-calmodulin activates MLCK, which phosphorylates myosin light chains."
What does MLCK do during smooth muscle contraction?,Cleaves actin filaments,Removes calcium from the SR during ordinary muscle function,Hydrolyzes acetylcholine,Phosphorylates myosin light chains,4,,"Activated MLCK phosphorylates myosin light chains, permitting productive actin-myosin interaction."
