Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
Which THREE components are listed as contributors to the origin of normal RMP?,K+ diffusion potential,Ca2+ plateau current,Na+-K+ pump,Na+ diffusion,"1,3,4",,"The origin-of-RMP slide lists K+ diffusion potential, Na+ diffusion, and the Na+-K+ pump."
Approximately what membrane potential would Na+ and K+ diffusion alone produce in the example leading to −90 mV?,About −86 mV,About +35 mV,About −4 mV,About −140 mV,1,,The slide states that Na+ and K+ diffusion alone would produce about −86 mV.
How much additional negativity is attributed directly to the continuously acting Na+-K+ pump in the −90 mV example?,About −86 mV,About −4 mV,About −70 mV,About +4 mV,2,,The slide states that the pump contributes an additional approximately −4 mV.
What did the ouabain experiment demonstrate about the resting membrane potential?,The Na+-K+ pump is the only cause of membrane voltage,RMP disappears instantly whenever K+ channels open,RMP can persist for hours even when the Na+-K+ pump is inhibited,Blocking the pump immediately reverses the membrane potential to +70 mV,3,,"Ouabain inhibits the Na+-K+ pump, yet the slides state that membrane potential can continue for a few hours."
What is the main indirect role of the Na+-K+ pump in maintaining RMP?,Producing the entire membrane voltage without ion diffusion in the process shown on the slide,Opening voltage-gated Na+ channels at threshold,Closing K+ leak channels during rest,Maintaining normal intracellular Na+ and K+ concentration gradients,4,,The summary slide emphasizes that the pump mainly maintains the Na+ and K+ gradients that allow the membrane potential to exist.
Why does K+ leaving the cell tend to make the cell interior negative in the slide summary?,Negatively charged intracellular proteins cannot follow K+ out,Sodium exits through the same channels in equal amounts as the main explanation given here,Chloride is actively pumped out at the same rate,Every K+ ion that leaves is replaced by a positive protein,1,,"The slide explains that K+ can leave through K+ channels while negatively charged proteins cannot, creating charge separation."
What does the Goldman-Hodgkin-Katz equation account for that a single-ion Nernst equation does not?,Only the stimulus duration needed for excitation,The relative permeabilities and concentrations of more than one permeant ion,The mechanical force generated by contracting muscle during the state described in the question,Only the number of ATP molecules used by the Na+-K+ pump,2,,The GHK slide combines Na+ and K+ concentrations weighted by their permeabilities.
"In the example shown, how does K+ permeability compare with Na+ permeability?",PK and PNa are equal,PK is one quarter of PNa,PK is 25 times PNa,PNa is 25 times PK,3,,The slide states that PK is 25 times as large as PNa.
"If PK is 25 times PNa, what ratio PNa/PK is used in the GHK example?",4,25,0.25,0.04,4,,The slide explicitly gives PNa/PK = 0.04.
What membrane potential is calculated in the GHK example shown?,Approximately −70.6 mV,Approximately −94 mV,Approximately +132 mV,Approximately +70.6 mV,1,,The worked GHK example on the slide yields about −70.6 mV.
What makes a cell 'excitable' according to the slides?,It permanently maintains a positive interior,It can rapidly change its membrane potential in response to stimulation,It lacks ion channels at rest,It cannot alter membrane permeability,2,,"Excitable cells can dramatically change membrane potential for short periods after electrical, chemical, or mechanical stimulation."
Which cell types are listed as examples of excitable cells?,Neurons,Muscle cells,Some endocrine cells,Mature red blood cells,"1,2,3",,"The slides list neurons, muscle cells, some endocrine cells, and also some other cells such as macrophages as excitable examples."
Which of the following is listed as a possible type of stimulus for an excitable cell?,Only genetic mutation,Only changes in blood glucose,Mechanical stimulation,Only thermal radiation,3,,"The slides list electrical, chemical, and mechanical stimulation."
Which category is a local nonpropagated potential?,A propagated action potential,A ventricular plateau phase,A refractory period,A synaptic potential,4,,"The slides classify synaptic, generator, and electrotonic potentials as local nonpropagated potentials."
Which property distinguishes local potentials from action potentials in the slide set?,Local potentials can summate,Local potentials require a plateau phase,Local potentials are always all-or-none,Local potentials propagate without decrement,1,,The local-potential slide explicitly states that local potentials can be summated.
What is temporal summation?,An action potential increases in size as it travels,Repeated inputs close together in time combine,A refractory period is shortened by repeated stimulation,Inputs from different locations combine at the same instant,2,,The slide diagram contrasts temporal summation with spatial summation; temporal summation combines successive inputs occurring close together in time.
What is spatial summation?,The membrane potential returns below resting level,One stimulus is repeated rapidly at one location,Inputs arriving from different sites combine,A signal jumps from node to node,3,,The local-potential diagram shows spatial summation as inputs from different locations combining.
"In the local-potential diagram, what happens when stimulus strength increases?",The membrane becomes permanently depolarized,Every stimulus produces exactly the same voltage change,The potential always becomes an action potential,The graded change in membrane potential becomes larger,4,,The figure contrasts weak and strong stimuli and shows a larger local potential with the stronger stimulus.
What sequence defines a typical nerve action potential in the slides?,Depolarization followed by repolarization,Hyperpolarization followed by a permanent plateau,Repolarization followed by no return to rest,Only a slow negative shift without depolarization,1,,The nerve action potential starts with depolarization from the resting negative potential and then returns by repolarization.
"During depolarization of a nerve action potential, the membrane suddenly becomes much more permeable to which ion?",Phosphate,Na+,K+,Protein anions,2,,The depolarization slide states that the membrane suddenly becomes permeable to Na+.
What causes the membrane potential to become less negative during depolarization?,Cl− is pumped out by the Na+-K+ pump,Proteins leave the cell,Na+ flows into the cell,K+ flows rapidly into the cell,3,,The slide explains that inflowing Na+ neutralizes the normal negative polarized state.
What does 'overshoot' mean in the nerve action potential diagram?,The membrane potential remains exactly at rest,K+ concentration outside becomes zero as the primary event in this diagram,The stimulus ends before threshold is reached,The membrane potential becomes positive above 0 mV,4,,The action-potential diagram labels the positive portion beyond 0 mV as overshoot.
"According to the slides, in which case may the action potential reach only about 0 mV rather than showing a large positive overshoot?",Small neurons and many CNS neurons,Only smooth muscle of the uterus,Every ventricular myocyte,Large peripheral nerves only,1,,The depolarization slide states that small neurons and many CNS neurons may reach about zero rather than a large overshoot.
What major ion-channel change initiates repolarization?,Ca2+ channels alone open and remain open as the main explanation given here,Na+ channels begin to close while K+ channels open more,Both Na+ and K+ channels permanently close,Na+-K+ pumps stop all ion movement,2,,The repolarization slide describes Na+ channel closure together with increased K+ channel opening.
What ion movement is mainly responsible for repolarization in the nerve fiber?,Ca2+ is pumped inward,Na+ diffuses inward,K+ diffuses outward,Protein anions diffuse outward,3,,Rapid outward diffusion of K+ re-establishes the negative membrane potential.
What is the 'spike potential' of a neuron as labeled in the slides?,The slow diastolic depolarization of nodal tissue,Only the prolonged after-hyperpolarization,The resting membrane potential before stimulation during the state described in the question,The sharp rise and rapid fall of the action potential,4,,The hyperpolarization slide calls the sharp rise and rapid fall the spike potential.
What does the slide call the slower fall near the end of the neuronal action-potential process?,After-depolarization,Spatial summation,Threshold potential,Plateau phase,1,,"The slide labels the slower fall at the end as after-depolarization, also called a negative after-potential."
What does the slide call the prolonged tracing that overshoots in the hyperpolarizing direction?,Generator potential,After-hyperpolarization,Overshoot depolarization,Equilibrium plateau,2,,"The slide labels this prolonged hyperpolarizing portion after-hyperpolarization, also called a positive after-potential."
What is the threshold condition for starting the positive-feedback rise of an action potential in the slides?,K+ entry becomes greater than Na+ exit,All ion movement stops,Na+ entry becomes greater than K+ exit,The membrane becomes impermeable to Na+,3,,The initiation slide defines threshold as the point where Na+ entry exceeds K+ leaving the fiber.
How large a sudden rise in membrane potential is usually required to reach threshold according to the slides?,About 60–90 mV,About 120–150 mV,About 1–2 mV,About 15–30 mV,4,,The initiation slide states that a rise of approximately 15–30 mV is usually required.
What threshold range is given in the action-potential initiation slide?,Approximately −50 to −70 mV,Exactly 0 mV in all cells,Approximately −100 to −120 mV,Approximately +50 to +70 mV,1,,The slide gives a threshold range between roughly −50 and −70 mV.
Which two stimulus properties are emphasized on the 'Threshold for excitation' slide?,Temperature and pH only,Intensity and duration,Frequency and wavelength only,Color and shape,2,,The threshold slide explicitly lists stimulus intensity and duration.
What starts the Na+ positive-feedback loop shown in the diagram?,K+ efflux during repolarization,Complete Na+ channel inactivation,A depolarizing stimulus,Restoration of ion gradients by ATPase,3,,The Na+ feedback diagram begins with a depolarizing stimulus.
"After voltage-gated Na+ channels open, what immediate change strengthens the positive-feedback loop?",Intracellular proteins diffuse out,K+ permeability falls to zero permanently,The Na+-K+ pump stops,Na+ permeability increases,4,,"Opening voltage-gated Na+ channels increases PNa, leading to more Na+ influx and further depolarization."
Which steps belong to the Na+ positive-feedback cycle shown?,Opening of voltage-gated Na+ channels,Rapid K+ efflux as the first step,Increased Na+ permeability,Increased Na+ flow into the cell,"1,3,4",,"The diagram shows Na+ channel opening, increased PNa, and increased inward Na+ flow reinforcing depolarization."
What terminates the Na+ positive-feedback cycle in the diagram?,Inactivation of Na+ channels,A permanent increase in Na+ permeability,Opening of every K+ leak channel before depolarization,Removal of all extracellular sodium,1,,The diagram marks Na+ channel inactivation as the stop step.
What initiates the K+ negative-feedback sequence shown?,The Na+-K+ pump switching off,Depolarization of the membrane by Na+ influx,Hyperpolarization caused by protein influx,A fall in intracellular K+ before stimulation,2,,The K+ feedback diagram begins with membrane depolarization produced by Na+ influx.
How does opening voltage-gated K+ channels contribute to negative feedback?,It prevents any change in membrane potential,It increases Na+ influx and further depolarizes the membrane,It increases K+ efflux and drives repolarization,It causes a sustained Ca2+ plateau,3,,"The diagram shows increased PK, more K+ leaving the cell, and repolarization that opposes the original depolarization."
What happens to the activation gate of a voltage-gated Na+ channel when threshold-region depolarization is reached?,It becomes a K+ channel,It changes only after repolarization is complete,It closes permanently,It opens rapidly,4,,The slides state that depolarization causes a sudden conformational opening of the Na+ activation gate.
How does the Na+ channel inactivation gate respond to the same depolarization?,It closes more slowly than the activation gate opens,It has no response to voltage,It opens faster than the activation gate,It remains permanently open in the process shown on the slide,1,,"The slides emphasize that inactivation is slower than activation, allowing a brief period of Na+ entry."
Which Na+ channel state is shown during the upstroke after activation but before inactivation?,Inactivated with no prior opening,Activated/open,Resting with both gates closed to Na+ movement,Converted into a K+ channel,2,,"The sodium-channel figure shows a resting state, an activated state with Na+ flow, and a later inactivated state."
At approximately what membrane-potential range does the slide say Na+ channel activation can occur?,Between about +70 and +90 mV,Only at exactly 0 mV,Between about −70 and −50 mV,Between about −140 and −120 mV,3,,The ion-channel slide gives a range of approximately −70 to −50 mV for activation.
How do voltage-gated K+ channels respond as membrane potential rises from about −90 mV toward zero?,They open instantly before Na+ channels,They inactivate before any K+ can leave,They remain closed throughout repolarization,They open slowly,4,,The K+ channel slide describes a slow conformational opening during depolarization.
The slow opening of voltage-gated K+ channels occurs at about the same time as what Na+ channel event?,Na+ channel inactivation,Na+-K+ pump inhibition by ouabain,Initial resting leak of Na+,Recovery of the after-hyperpolarization,1,,The slide states that slow K+ channel opening occurs simultaneously with Na+ channel inactivation.
What is the direct result of opening voltage-gated K+ channels during the action potential?,Ca2+ is trapped outside,K+ diffuses outward,Na+ rapidly diffuses inward,Proteins cross the lipid bilayer,2,,The K+ channel slide states that opening allows outward K+ diffusion.
Which mechanism re-establishes the Na+ and K+ ionic gradients after an action potential?,The Nernst equation,Voltage-gated Na+ channels alone,The Na+-K+ pump,Temporal summation,3,,The slide states that re-establishment of the K+ and Na+ ionic gradients is accomplished by the Na+-K+ pump.
How much can Na+-K+ pump activity increase after an action potential according to the slides?,Up to about twofold only,It always decreases to zero,Exactly twenty-fivefold,Up to about eightfold,4,,The slide states that pump activity may increase up to eightfold after an action potential.
What ion stoichiometry is depicted for the Na+-K+ ATPase?,3 Na+ out and 2 K+ in,1 Na+ out and 1 K+ in in the specific mechanism shown,2 Na+ out and 3 K+ in,3 Na+ in and 3 K+ out,1,,The pump diagram shows 3 Na+ transported outward for 2 K+ transported inward using ATP.
"During the absolute refractory period, what stimulus can trigger another action potential?",Any weak stimulus,"No stimulus, regardless of strength",Only a stimulus twice threshold,Only a long-duration stimulus,2,,"The slides state that no stimulus, no matter how strong, can excite the nerve during the absolute refractory period."
"During the relative refractory period, what is required to trigger excitation?",No stimulus at all in the specific mechanism shown,Only mechanical stimulation,A stronger-than-normal stimulus,A stimulus weaker than normal,3,,The slides state that stronger-than-normal stimuli can cause excitation during the relative refractory period.
How does excitability change in the integrated refractory-period figure?,It is highest throughout the absolute period,It falls only after all channels return to rest,It remains constant from start to finish,It is zero during the absolute period and then progressively recovers during the relative period,4,,The integrated figure shows zero excitability during the absolute refractory period and increasing excitability during the relative period.
"In the integrated channel/refractory figure, what happens before full excitability returns?",Na+ channels reset while K+ channels remain open for part of the recovery,All Na+ channels remain inactivated forever,K+ channels never open,Both channel types are fully reset at the peak of depolarization,1,,"The figure shows Na+ channel reset occurring before K+ channels have fully closed, during the relative refractory period."
Which THREE properties of action potentials are explicitly listed in the slides?,Propagation occurs without decrement,Depolarization must exceed threshold,Amplitude increases continuously with distance,The response is all-or-none,"1,2,4",,"The properties slide lists threshold requirement, all-or-none behavior, and propagation without decrement."
What does 'all-or-none' mean for the action potential in this slide set?,The action potential becomes smaller with every millimeter traveled,"Once threshold is reached, a full action potential occurs rather than a graded partial one",Stronger stimuli always produce taller action potentials,Subthreshold stimuli produce a half-sized action potential,2,,The slides identify action potentials as all-or-none and separately show that threshold must be exceeded.
What does propagation 'without decrement' mean?,Only local potentials can travel along an axon,The membrane must remain depolarized permanently,The action potential does not progressively lose amplitude as it travels,The action potential becomes smaller with distance in the process shown on the slide,3,,The properties slide states that action potentials propagate without decrement.
"In continuous conduction, where does the action potential travel after a point on a nerve fiber is stimulated?",Only through the cell nucleus,Only toward the original stimulus site,Only across myelinated nodes in the specific mechanism shown in this slide set,Away from the stimulus through the membrane and its branches,4,,The continuous-conduction slide states that the action potential travels in all directions away from the stimulus and along branches until the membrane is depolarized.
What is the basic effect of local current during propagation?,It depolarizes adjacent membrane so the action potential can continue,It removes the resting ion gradients before the signal arrives during the state described in the question,It prevents neighboring membrane from reaching threshold,It permanently closes all downstream ion channels,1,,The propagation diagrams show depolarized membrane spreading excitation into adjacent regions.
What is saltatory conduction?,A smooth-muscle plateau caused only by calcium,Conduction in which depolarization occurs at nodes of Ranvier along a myelinated axon,A graded potential that never reaches threshold,A continuous action potential in an unmyelinated membrane with every segment depolarizing,2,,The saltatory-conduction slide shows myelin between nodes and action potentials regenerating at the nodes.
What effect does saltatory conduction have on nerve transmission velocity?,It always slows conduction,It stops conduction at each node,It increases velocity,It has no effect on velocity,3,,The slide explicitly states that saltatory conduction increases nerve-transmission velocity.
Why does saltatory conduction conserve axonal energy according to the slides?,K+ never leaves the axon,Every internodal membrane segment must fully depolarize,The Na+-K+ pump is absent from myelinated axons,Only the nodes depolarize,4,,The slide says energy is conserved because only nodes depolarize.
What structure is labeled as the gap between myelinated segments where depolarization occurs?,Node of Ranvier,SA node,Purkinje fiber in the specific mechanism shown,Activation gate,1,,The saltatory-conduction diagram labels the exposed gaps between myelin segments as nodes of Ranvier.
Which tissues are specifically named on the slides for the fast cardiac action potential with phases 0–4?,Skeletal muscle and macrophages,Ventricular myocardium and Purkinje fibers,Atrial tissue only,SA nodal tissue and intestinal smooth muscle,2,,The cardiac-action-potential slide labels the fast response as ventricular myocardium/Purkinje fibers.
What ion movement dominates phase 0 of the ventricular/Purkinje action potential?,Protein-anion influx,Rapid K+ influx,Rapid Na+ influx,Slow Na+ efflux,3,,The phase list states that phase 0 is rapid Na+ influx.
What is the main ion movement noted for phase 1 of the ventricular/Purkinje action potential?,Cl− moves in only,Ca2+ moves out,Na+ moves in rapidly,K+ moves out,4,,The slide labels phase 1 as relatively insignificant and associated with K+ outflow.
What defines phase 2 of the ventricular/Purkinje action potential?,A plateau with Ca2+ influx and K+ efflux,Complete absence of ionic current,Rapid Na+ influx without K+ movement,Only Na+-K+ pump activity,1,,The slide identifies phase 2 as the plateau phase with Ca2+ moving in and K+ moving out.
What ion movement dominates phase 3 of the ventricular/Purkinje action potential?,Ca2+ influx only,K+ efflux,Protein efflux,Na+ influx,2,,The slides define phase 3 as rapid repolarization due to K+ moving out.
How is phase 4 described for ventricular/Purkinje fibers in the slide text?,A rapid Ca2+-mediated upstroke throughout the event being tested in this slide set,A phase in which all pumps are inactive,A period in which ions are returned to their proper sides between beats,A prolonged plateau caused only by Na+,3,,The slide describes phase 4 as the interval between beats during which ionic distributions are restored.
Which mechanisms are listed on the ventricular/Purkinje slide as helping restore ionic distributions?,Temporal summation,Ca2+ pump,ATPase pump,Na+-Ca2+ exchanger,"2,3,4",,"The slide lists the ATPase pump, Na+-Ca2+ exchanger, and Ca2+ pump."
Why is phase 2 called a plateau phase in the ventricular action potential?,The potential instantly returns to −90 mV,No ions cross the membrane during the phase,Only an external stimulus is present,Membrane potential stays relatively elevated for an extended interval,4,,The diagram shows a prolonged relatively flat elevated membrane potential during phase 2.
How do the slides characterize the nodal-tissue action potential?,A slow action potential,A purely local potential,A fast skeletal-muscle spike only,A nonexcitable resting voltage,1,,The nodal-tissue slide explicitly calls it the 'slow' action potential.
What feature gives nodal tissue self-activation according to the slides?,Continuous maximal K+ efflux,Diastolic depolarization,Permanent Na+ channel inactivation,A fixed −90 mV resting potential,2,,The slides state that nodal tissue self-activates through diastolic depolarization.
What resting leak is identified as contributing to nodal diastolic depolarization?,Protein leak out of the cell,Ca2+ leak out of the cell,Na+ leak into the cell,K+ leak into the cell only,3,,The nodal slide states that the membrane is leaky to Na+ at rest.
What property results from spontaneous diastolic depolarization in nodal tissue?,Permanent hyperpolarization,Complete refractoriness,Loss of excitability,Autorhythmicity,4,,The slide links self-activation by diastolic depolarization to autorhythmicity.
Around what membrane potential do the nodal gates open fully according to the slide?,About −40 mV,About −140 mV,About +70 mV,About −90 mV,1,,The nodal-tissue slide states that the gates open fully around −40 mV.
Which ion carries most of phase 0 in the nodal-tissue action potential?,Cl− efflux,Ca2+ influx,K+ influx,Na+ influx only,2,,"The slide states that nodal phase 0 is mostly caused by Ca2+ influx, making the upstroke slow."
What ion movement produces phase 3 in nodal tissue?,Phosphate efflux,Na+ influx,K+ efflux,Ca2+ influx,3,,"The nodal slide states that phase 3 is K+ efflux, as in skeletal and nerve tissues."
Why is the nodal phase-0 upstroke slower than the ventricular phase-0 upstroke in the slides?,Nodal cells have no ion channels,Ventricular cells use only K+ influx,Nodal cells begin from +35 mV,Nodal phase 0 depends mostly on Ca2+ influx rather than rapid Na+ influx,4,,The slides contrast Ca2+-mediated nodal phase 0 with rapid Na+-mediated phase 0 in ventricular myocardium/Purkinje fibers.
How does the atrial action potential compare with the ventricular myocardial action potential?,It is very similar but smaller and shorter,It is identical in duration and amplitude,It consists only of a resting potential,It has no depolarization phase,1,,The atrial slide states that the atrial action potential is very similar to the ventricular one but smaller and shorter.
How does the atrial refractory period compare with the ventricular refractory period according to the slides?,It is much longer,It is shorter,It is always exactly equal,It is absent,2,,"The atrial slide states that the refractory period is shorter, associated with the shorter phase 2."
What major timing difference is shown when skeletal and cardiac electrical and mechanical activity are compared?,Skeletal muscle has a prolonged plateau identical to ventricular muscle,The skeletal action potential lasts hundreds of milliseconds longer than contraction,The cardiac action potential lasts much longer relative to contraction,Cardiac muscle has no refractory period during contraction,3,,The comparison figure shows a brief skeletal action potential versus a much longer cardiac action potential overlapping the mechanical response.
"In the cardiac comparison figure, when does much of the mechanical response occur relative to the refractory period?",Before the action potential begins,Only after all refractoriness has ended,Only during resting phase 4,While the long refractory period is still present,4,,The figure shows the mechanical response substantially overlapping the absolute and relative refractory intervals.
Which muscle type in the comparison figure shows the shorter electrical action potential?,Skeletal muscle,Neither produces an action potential,Both are the same duration,Cardiac ventricular muscle,1,,"The skeletal-muscle action potential is drawn as a brief spike, whereas the cardiac action potential is prolonged."
What type of smooth-muscle action potential is labeled A on the final slide?,A nodal pacemaker potential,A typical spike potential elicited by an external stimulus,A purely local synaptic potential,A ventricular plateau,2,,The final slide identifies tracing A as a typical smooth-muscle spike action potential elicited by an external stimulus.
What produces the repetitive spike potentials labeled B on the final slide?,Permanent Na+-K+ pump inhibition,A single external stimulus only,Slow rhythmical electrical waves occurring spontaneously,Atrial phase 2 shortening,3,,The slide states that repetitive spikes are elicited by spontaneous slow rhythmical electrical waves.
Where are the spontaneous slow waves in tracing B said to occur?,Ventricular myocardium,Skeletal muscle fibers,Purkinje fibers only,Smooth muscle of the intestinal wall,4,,The slide specifies that these slow rhythmical waves occur spontaneously in intestinal-wall smooth muscle.
What type of smooth-muscle action potential is labeled C?,An action potential with a plateau,A resting membrane potential with no excitation,A purely subthreshold local potential,A ventricular phase-0 spike,1,,The final slide labels tracing C as a smooth-muscle action potential with a plateau.
From what tissue was the plateau-type smooth-muscle action potential in tracing C recorded?,A nodal cell,A uterine smooth muscle fiber,A Purkinje fiber,A skeletal muscle fiber,2,,The slide states that tracing C was recorded from a smooth-muscle fiber of the uterus.
A cell has a resting membrane potential near −70 mV and then rapidly depolarizes because Na+ permeability suddenly rises. Which process is being described?,Ventricular phase 2 plateau,Nodal phase 3,A nerve action potential upstroke,Smooth-muscle resting potential only,3,,The nerve-action-potential slides describe sudden Na+ permeability and Na+ influx during depolarization from about −70 mV.
A membrane is at rest and is far more permeable to K+ than Na+. Which equation shown in the slides is designed to combine both ion concentrations with their permeabilities?,Only the single-ion Nernst equation,ATPase stoichiometry equation,Threshold-duration equation,Goldman-Hodgkin-Katz equation,4,,The GHK equation combines Na+ and K+ terms weighted by their permeabilities.
"If a membrane were permeable to only one ion, which concept identifies the voltage at which that ion would have no net diffusion?",Its Nernst equilibrium potential,Its plateau phase in the process shown on the slide,Its temporal summation value,Its refractory period,1,,The Nernst potential is defined as the membrane potential that exactly opposes net diffusion of a particular ion.
Which statement best connects the Na+-K+ pump to the resting membrane potential?,It is irrelevant to ion gradients,It maintains the Na+ and K+ gradients and contributes a small direct electrogenic effect,It alone generates the entire resting potential instantaneously,It opens voltage-gated Na+ channels at threshold,2,,"The slides emphasize that diffusion, especially K+ diffusion, accounts for most RMP, while the pump maintains gradients and adds about −4 mV in the cited example."
"A depolarizing stimulus opens voltage-gated Na+ channels, which increases Na+ influx and causes further depolarization. What type of control is this?",Negative feedback,No feedback,Positive feedback,Mechanical summation,3,,The Na+ channel diagram explicitly labels this reinforcing cycle as positive feedback.
"Depolarization opens voltage-gated K+ channels; K+ exits and the membrane repolarizes, opposing the original depolarization. What type of control is this?",Plateau conduction,Positive feedback,Temporal summation,Negative feedback,4,,The K+ channel diagram labels this opposing loop as negative feedback.
Why can no second action potential be triggered during the absolute refractory period?,The membrane is in a state in which excitation cannot be produced regardless of stimulus strength,The Na+-K+ pump has fully stopped during the state described in the question in this slide set in this slide set,The membrane is more excitable than normal,Every K+ channel has permanently disappeared,1,,The slides define the absolute refractory period functionally as a period when no stimulus can excite the nerve.
A stronger-than-normal stimulus succeeds in triggering an action potential shortly after the absolute refractory period ends. Which period is this?,Absolute refractory period,Relative refractory period,Resting plateau,Diastolic depolarization,2,,The relative refractory period is the interval in which stronger-than-normal stimuli can produce excitation.
Which event most directly explains the transition from depolarization toward repolarization in a nerve action potential?,Stopping all K+ movement,A sudden rise in intracellular protein permeability,Na+ channel inactivation together with increased K+ conductance,Further opening of Na+ activation gates only,3,,The slides pair Na+ channel inactivation/closure with delayed K+ channel opening as the basis for repolarization.
Which pair correctly matches action-potential type with its major phase-0 ion?,Ventricular/Purkinje: Cl−; nodal tissue: K+,Ventricular/Purkinje: Ca2+; nodal tissue: K+,Ventricular/Purkinje: K+; nodal tissue: Na+ as the main explanation given here,Ventricular/Purkinje: Na+; nodal tissue: Ca2+,4,,The slides identify rapid Na+ influx in ventricular/Purkinje phase 0 and predominantly Ca2+ influx in nodal phase 0.
