Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
Which cell type is specialized for lipid storage?,Sensory cells,Fat cells,Fibroblasts,Digestive-gland cells,2,,The specialized-cell table associates lipid storage with fat cells.
Which pairings between cellular activity and specialized cell type are supported by the uploaded material? Select all that apply.,Intracellular digestion — macrophages and neutrophils,Steroid synthesis — erythrocytes,Action-potential generation — adipocytes,Metabolite absorption — cells lining the intestine,"1,4",,The textbook table pairs intracellular digestion with macrophages/neutrophils and metabolite absorption with intestinal lining cells.
What is another name for the plasma membrane used in the slides?,Centrosome,Nucleolemma,Sarcomere,Plasmalemma,4,,The slides use plasma membrane and plasmalemma as synonymous terms.
Which combination best describes the major components of the eukaryotic plasma membrane?,"Phospholipids, cholesterol, proteins, and oligosaccharide chains linked to lipids and proteins","Triglycerides, ribosomes, keratin, and RNA only","Cellulose, glycogen, RNA, and calcium salts","DNA, histones, actin, and collagen",1,,The slides and textbook describe a phospholipid-cholesterol-protein membrane with carbohydrate chains attached to membrane lipids and proteins.
Approximately how thick is the plasma membrane according to the slides and textbook?,25-40 nm,1-2 micrometers,7.5-10 nm,80-100 nm,3,,The membrane is described as about 7.5-10 nm thick and therefore is resolved clearly with electron microscopy.
Why do phospholipids spontaneously form a bilayer in an aqueous environment?,Their phosphate groups cluster in the membrane center,Their hydrophilic heads contact water while hydrophobic fatty acid tails are buried away from water,Their hydrophobic heads bind extracellular water directly,Their fatty acid tails are strongly ionic,2,,Phospholipids are amphipathic: polar heads face water and nonpolar tails form the hydrophobic center of the bilayer.
"In a TEM image of an osmium-fixed membrane, what primarily forms the pale central band of the trilaminar membrane?",Peripheral membrane proteins,The glycocalyx,The carbohydrate chains of glycoproteins,The hydrophobic fatty acid region of the phospholipid bilayer,4,,"The source explains that osmium deposits on hydrophilic phosphate groups, leaving the fatty-acid-rich hydrophobic center relatively pale."
The central hydrophobic region of the plasma membrane is most directly responsible for which function?,Creating a barrier to water-soluble molecules,Binding all extracellular ligands,Synthesizing ATP,Anchoring every cytoskeletal filament,1,,The slides include this exact concept: the nonpolar central region forms the principal barrier to water-soluble molecules.
What is the main effect of cholesterol on the plasma membrane emphasized in the slides?,It makes the membrane freely permeable to ions,It converts peripheral proteins into integral proteins,It modulates membrane fluidity and movement of membrane components,It directly synthesizes membrane carbohydrates,3,,Cholesterol is interspersed among phospholipids and modulates membrane fluidity.
What does membrane asymmetry mean in this material?,Only the outer leaflet contains any proteins,The two halves of the lipid bilayer have different lipid and protein compositions,The membrane is thicker on the nuclear side of every cell,Only one leaflet contains phospholipids,2,,"The slides state that the lipid composition of each half differs, and the textbook expands this to asymmetry of both lipids and proteins."
Which phospholipids are described as more abundant in the outer half of the red blood cell membrane?,Cardiolipin and phosphatidylserine,Triglycerides and cholesterol esters,Phosphatidylserine and phosphatidylethanolamine,Phosphatidylcholine and sphingomyelin,4,,The textbook uses red blood cells as an example: phosphatidylcholine and sphingomyelin are enriched in the outer half.
Which phospholipids are described as more concentrated in the inner layer of the red blood cell membrane?,Phosphatidylserine and phosphatidylethanolamine,Glycolipids and cholesterol only,Phosphatidylcholine and sphingomyelin,Cardiolipin and triglycerides,1,,The textbook contrasts the inner enrichment of phosphatidylserine and phosphatidylethanolamine with outer-layer phosphatidylcholine and sphingomyelin.
What is an integral membrane protein?,A carbohydrate chain attached only to cholesterol,A protein found only free in the cytosol,A protein incorporated within the lipid bilayer,A protein restricted to the nucleolus,3,,Integral proteins are embedded in the bilayer; some span the membrane multiple times.
What distinguishes peripheral membrane proteins from integral membrane proteins?,Peripheral proteins always span the bilayer repeatedly,Peripheral proteins are more loosely associated with one membrane surface,Peripheral proteins form the hydrophobic core of the membrane,Peripheral proteins are covalently bonded to DNA,2,,The slides define peripheral proteins by their looser association with a membrane surface.
Which treatment is described in the textbook as necessary to extract integral membrane proteins?,A mild glucose solution,Simple salt solution alone,RNase only,Detergents that disrupt membrane lipids,4,,"Peripheral proteins can often be removed with salt solutions, whereas integral proteins require detergents that disrupt the lipid bilayer."
What is the glycocalyx?,A carbohydrate-rich layer formed by chains attached to membrane proteins and lipids,A mitochondrial membrane fold,A layer of actin immediately beneath the nucleus,A coat of free ribosomes on rough ER,1,,The glycocalyx is formed by carbohydrate chains on glycoproteins and glycolipids at the external cell surface.
Which functions are attributed to membrane carbohydrates and the glycocalyx in the uploaded material? Select all that apply.,Cell recognition,ATP synthesis by oxidative phosphorylation,DNA replication,Cell adhesion or attachment,"1,4",,"The slides and textbook emphasize recognition, adhesion/attachment, and receptor-related interactions for membrane carbohydrate chains."
What is the fluid mosaic model?,A model for microtubule triplet organization,A model in which proteins are permanently fixed in a crystalline lipid sheet,A model in which proteins form a movable mosaic within a fluid lipid bilayer,A model describing chromatin condensation,3,,"The textbook describes membrane proteins as a movable mosaic within the fluid lipid bilayer, although some are restricted by cytoskeletal attachments."
What experimental observation supports lateral mobility of membrane proteins?,Ribosomes remain attached to the same mRNA forever,Labeled membrane proteins spread over the surface after two cultured cells are fused,Chromatin becomes condensed during transcription,Mitochondria never change location,2,,The textbook figure describes cell-fusion experiments in which labeled membrane proteins redistributed across the hybrid-cell surface.
What are lipid rafts?,Regions lacking lipids but rich in DNA,Sites where ribosomal subunits assemble,Mitochondrial cristae specialized for steroid secretion,Membrane patches enriched in cholesterol and saturated fatty acids where some signaling proteins cluster,4,,The textbook describes lipid rafts as less-fluid membrane regions enriched in cholesterol and saturated fatty acids that help organize signaling proteins.
What can restrict the lateral diffusion of membrane proteins?,Attachments to the cytoskeleton,The presence of mRNA in the nucleus,The mitochondrial matrix,Lysosomal acid hydrolases,1,,"The fluid mosaic model allows lateral movement, but cytoskeletal anchoring can restrict that movement."
What role do integrins play according to the textbook?,They pump protons into lysosomes,They synthesize lysosomal enzymes,They link the cytoskeleton with extracellular matrix components and allow bidirectional influence,They form the 40S ribosomal subunit,3,,Integrins span the membrane and connect cytoskeletal structures with extracellular-matrix components.
Which statements about the plasma membrane are supported by the source material? Select all that apply.,It helps maintain cytoplasmic ion content different from extracellular fluid,It functions as a selective barrier,Its proteins participate in signaling and recognition,It is composed primarily of DNA and histones,"1,2,3",,"The textbook describes barrier, transport, ion-homeostasis, recognition, and signaling functions for the plasma membrane."
Simple diffusion across the plasma membrane is best suited for which substances?,Large proteins,Small nonpolar or lipid-soluble molecules,Ribosomal subunits,Chromosomes,2,,The textbook states that small nonpolar and lipophilic molecules can diffuse directly through the lipid bilayer.
What is a membrane channel?,A peripheral protein that stores glycogen,A nuclear pore made only of phospholipid,A lipid droplet in the cytoplasm,A multipass transmembrane protein forming a selective pore,4,,Channels are multipass proteins that create selective transmembrane pores for ions or small molecules.
What is a carrier protein in membrane transport?,A transmembrane protein that binds a small molecule and changes conformation to move it across the membrane,A lysosomal enzyme that hydrolyzes proteins,A histone that carries DNA,A cytoskeletal filament that binds ATP,1,,The textbook defines carriers as proteins that bind solutes and translocate them through conformational changes.
Which transport mechanism allows Na+ to move through a Na+ channel down its concentration gradient?,Phagocytosis,Exocytosis,Channel-mediated facilitated diffusion,Primary active transport,3,,The textbook transport table gives Na+ movement through a Na+ channel as an example of channel-mediated facilitated diffusion.
Glucose movement into cells through a glucose carrier down its concentration gradient is an example of what?,Simple diffusion,Carrier-mediated facilitated diffusion,Phagocytosis,Primary active transport,2,,Carrier-mediated facilitated diffusion uses a carrier protein but does not require movement against the concentration gradient.
What is osmosis?,Bulk uptake of bacteria,Movement of proteins from RER to Golgi,ATP-driven export of sodium,Diffusion of water across a selectively permeable membrane,4,,"The textbook defines osmosis as water diffusion across a selectively permeable membrane, driven by relative solute concentrations."
What distinguishes passive transport from active transport?,"Passive transport moves substances down gradients without cellular energy expenditure, whereas active transport requires cellular energy",Active transport always moves water only,"Passive transport always uses vesicles, active transport never uses proteins",Passive transport occurs only in the nucleus,1,,The transport table separates passive movement down concentration gradients from energy-requiring active processes.
What powers primary active transport?,Clathrin polymerization,DNA hydrolysis,Direct use of ATP,Passive diffusion of water,3,,Primary active transport is directly powered by ATP hydrolysis.
What powers secondary active transport?,Fusion with lysosomes,Movement of a second substance down its concentration gradient,Simple diffusion through the lipid core only,Direct phosphorylation of every transported solute by DNA,2,,"Secondary active transport couples uphill movement of one solute to downhill movement of another, such as Na+."
Which example from the textbook is a symport system?,Exocytosis of neurotransmitter,Na+/H+ transport,O2 diffusion,Na+/glucose transport,4,,The textbook table lists Na+/glucose cotransport as symport because both move in the same direction.
Which example from the textbook is an antiport system?,Na+/H+ transport,Na+/glucose transport,Osmosis,Pinocytosis,1,,The textbook lists Na+/H+ exchange as antiport because the coupled substances move in opposite directions.
What are aquaporins?,Mitochondrial DNA-binding proteins,Golgi coat proteins,Channel proteins that facilitate water movement across the plasma membrane,Lysosomal acid hydrolases,3,,The textbook states that water usually crosses plasma membranes through channel proteins called aquaporins.
Which processes are passive according to the textbook transport table? Select all that apply.,Facilitated diffusion,Simple diffusion,Osmosis,Primary active transport,"1,2,3",,"Simple diffusion, facilitated diffusion, and osmosis move substances without direct cellular energy expenditure."
Which statements about active transport are supported by the uploaded material? Select all that apply.,It is identical to simple diffusion,It requires no membrane proteins,It can move substances against a concentration gradient,Primary active transport can use ATP directly,"3,4",,"Active transport uses membrane proteins and cellular energy to move solutes, often against gradients."
What is endocytosis?,Release of vesicle contents outside the cell,Bulk uptake of material by membrane invagination or engulfment followed by vesicle formation,Synthesis of ATP in mitochondria,DNA replication in the nucleus,2,,Both the slides and textbook define endocytosis as uptake through plasma-membrane folding or invagination and vesicle formation.
Which three general forms of endocytosis are emphasized in the slides?,"Replication, transcription, and translation","Exocytosis, apoptosis, and autophagy","Symport, antiport, and osmosis","Phagocytosis, pinocytosis, and receptor-mediated endocytosis",4,,"The slides list phagocytosis, fluid-phase endocytosis (pinocytosis), and receptor-mediated endocytosis."
Phagocytosis is best described as uptake of what?,Large particles such as bacteria or dead-cell remnants,Only water molecules,Steroid hormones,Individual sodium ions,1,,Phagocytosis means 'cell eating' and involves uptake of particulate material.
What is the membrane-enclosed compartment containing an engulfed particle after phagocytosis called?,Nucleosome,Polysome,Phagosome,Peroxisome,3,,The slides identify the vesicle formed around phagocytosed material as a phagosome.
Which blood-derived cells are highlighted in the textbook as specialized for phagocytosis?,Adipocytes and chondrocytes,Macrophages and neutrophils,Keratinocytes and fibroblasts only,Erythrocytes and platelets,2,,The textbook notes that macrophages and neutrophils are particularly specialized for phagocytosis.
Pinocytosis is best described as what?,Uptake of chromosomes,Selective uptake only through nuclear pores,Direct synthesis of membrane lipids,Uptake of extracellular fluid and dissolved contents in small vesicles,4,,Pinocytosis means 'cell drinking' and traps extracellular fluid in small membrane-derived vesicles.
Approximately what diameter is given for pinocytotic vesicles?,About 80 nm,About 8 micrometers,About 1 cm,About 25 nm,1,,Both slide and textbook material state that pinocytotic vesicles are about 80 nm in diameter.
What is transcytosis?,Movement of DNA between chromosomes,Direct diffusion of cholesterol through the nucleus,Vesicular transport across a cell with uptake at one surface and release at another,A type of mitochondrial fission,3,,The textbook explains that pinocytotic or endosomal vesicles can cross a cell and release contents at the opposite surface.
What initiates receptor-mediated endocytosis?,Random rupture of the plasma membrane,Binding of a ligand to its specific membrane receptor,Binding of histones to DNA,ATP synthesis in the mitochondrial matrix,2,,Ligand binding causes specific receptors to cluster in specialized membrane regions.
What are coated pits?,Actin bundles inside microvilli,Depressions in the nuclear envelope that contain ribosomes,Cristae of steroid-secreting mitochondria,Special membrane regions where ligand-bound receptors cluster before internalization,4,,The slides describe receptor aggregation in coated pits before coated-vesicle formation.
Which protein is the major component of the coat in many receptor-mediated endocytic pits?,Clathrin,Tubulin,Cardiolipin,Desmin,1,,The slides and textbook identify clathrin as the major polypeptide of the electron-dense coated pit.
What happens to clathrin after a coated vesicle enters the cytoplasm?,It becomes mitochondrial DNA,It becomes a histone,It can separate from the vesicle and recycle to the cell membrane,It is permanently incorporated into the ligand,3,,The textbook describes clathrin uncoating and recycling for formation of new coated pits.
What are caveolae?,Mitochondrial matrix granules,Small membrane invaginations involved in a form of receptor-mediated endocytosis,Golgi cisternae containing acid hydrolases,Nuclear chromatin domains,2,,The textbook describes caveolae as small invaginations prominent in thin cells and associated with caveolins and cavins.
Which integral membrane proteins are associated with caveolae?,Histones,Keratins,Lamins,Caveolins,4,,Caveolae involve a family of integral membrane proteins called caveolins.
Which small GTPases are described as important for directing vesicle trafficking through the endosomal compartment?,Rab proteins,Histones,Actins,Collagens,1,,The textbook identifies Rab proteins as small GTPases that help direct endosomal vesicle trafficking.
What is an important effect of ATP-driven H+ pumps in late endosomes?,They make the cytosol alkaline by synthesizing bicarbonate,They polymerize nuclear lamins,They acidify the endosome interior,They convert clathrin into caveolin,3,,"The textbook states that proton pumps acidify late endosomes, helping activate hydrolytic enzymes and separate some ligands from receptors."
Why can LDL receptors be reused after receptor-mediated endocytosis?,They are copied by ribosomes while still in the membrane,They can be sorted into recycling endosomes and returned to the cell surface,They are converted into phospholipids,They fuse permanently with lysosomal enzymes,2,,The textbook specifically notes that LDL receptors can be recycled several times.
What is exocytosis?,Passive movement of O2 through the membrane,Uptake of a bacterium into a phagosome,Condensation of chromatin,Fusion of a cytoplasmic vesicle with the plasma membrane to release its contents outside the cell,4,,The slides and textbook define exocytosis as vesicle fusion with the plasma membrane and extracellular release of contents.
What commonly triggers regulated exocytosis in many cells according to the slides?,A transient increase in cytosolic Ca2+,Polymerization of histones,Loss of the nuclear envelope,A fall in all cellular ATP to zero,1,,The slides state that a transient rise in cytosolic Ca2+ triggers exocytosis in many cells.
What is membrane trafficking?,Hydrolysis of glycogen in the nucleus,Movement of chromosomes during mitosis only,The movement and recycling of cellular membranes,Replication of mitochondrial DNA only,3,,The slides define membrane trafficking as membrane movement and recycling.
What distinguishes constitutive secretion from regulated secretion?,"Constitutive secretion requires lysosomal rupture, whereas regulated secretion does not use vesicles","Constitutive secretion proceeds continuously, whereas regulated secretion stores products until a signal triggers release",Constitutive secretion occurs only in bacteria,Regulated secretion never uses Ca2+,2,,The textbook distinguishes continuous constitutive exocytosis from regulated release of stored products in response to signals.
Which events are associated with receptor-mediated endocytosis in the source material? Select all that apply.,Clathrin-coated pit formation,Formation of the mitotic spindle,Receptor recycling through endosomes,Ligand binding to a receptor,"1,3,4",,"Receptor-mediated endocytosis uses specific receptors, coated pits and vesicles, and often endosomal sorting with receptor recycling."
Which processes can deliver internalized material toward lysosomal digestion according to the textbook? Select all that apply.,Simple diffusion through the bilayer,DNA transcription,Pinocytosis,Phagocytosis,"3,4",,Phagosomes and many pinocytotic vesicles enter the endosomal-lysosomal pathway for degradation of contents.
Hydrophilic signaling molecules generally initiate cell responses by doing what?,Entering lysosomes for digestion before signaling,Binding only mitochondrial DNA,Crossing the lipid bilayer freely and binding DNA directly in every case,Binding membrane receptors and activating intracellular signal-transduction pathways,4,,The slides depict water-soluble signals acting through membrane receptors and intracellular second-messenger pathways.
Which set contains only second messengers listed in the slides?,"DAG, cAMP, and IP3","Bilirubin, glycogen, and cholesterol","Clathrin, tubulin, and actin","ATP, DNA, and collagen",1,,"The slides list 1,2-diacylglycerol (DAG), cAMP, and IP3 as small second-messenger molecules."
What is a major purpose of second messengers in signal transduction?,To digest bacteria directly,To package chromatin into nucleosomes,To relay and amplify signals inside the cell,To form the lipid bilayer,3,,"The slides describe effector proteins generating large quantities of small second messengers, allowing intracellular signal propagation and amplification."
Hydrophobic signaling molecules such as steroid and thyroid hormones are associated with which receptor location?,Only lysosomal membranes,Intracellular receptor proteins,Only clathrin-coated pits,Only the glycocalyx,2,,The slides state that small steroid and thyroid hormones use intracellular receptor proteins.
Why do steroid and thyroid hormones bind carrier proteins in plasma according to the slides?,To form microtubules,To be degraded by proteasomes,To become clathrin-coated,For transport through the body,4,,The slides describe reversible binding of these hydrophobic hormones to plasma carrier proteins for transport.
Which signaling mode uses hormones carried in the blood to distant target cells?,Endocrine signaling,Phagocytic signaling,Paracrine signaling,Synaptic signaling,1,,The textbook defines endocrine signaling as transport of signaling molecules in the blood from a source to distant target cells.
Which signaling mode acts locally because the ligand diffuses through extracellular fluid and is rapidly metabolized?,Mitochondrial signaling,Ribosomal signaling,Paracrine signaling,Endocrine signaling,3,,The textbook describes paracrine ligands as locally acting because they diffuse nearby and are rapidly metabolized.
Synaptic signaling is described as what kind of interaction?,A type of chromatin condensation,A specialized paracrine interaction using neurotransmitters at synapses,A form of lysosomal digestion,A type of primary active transport,2,,The textbook identifies synaptic signaling as a specialized local signaling process involving neurotransmitters and synapses.
Which nuclear function is explicitly emphasized in the slides?,Bile acid synthesis,Phagocytosis,Oxidative phosphorylation,DNA replication and transcription into precursor RNA molecules,4,,The slides describe the nucleus as the site of DNA replication and transcription into precursor RNA.
Which structure encloses the nucleus?,Nuclear envelope,Crista,Glycocalyx,Phagosome,1,,The nucleus is enclosed by the nuclear envelope.
Which components are listed as contained within the nucleus in the slides?,"Lysosomes, Golgi stacks, and centrioles","Peroxisomes, cristae, and caveolae","Nuclear lamina, nucleolus, and chromatin","Microvilli, cilia, and glycocalyx",3,,"The slide on the nucleus lists the nuclear lamina, nucleolus, and chromatin."
What are lamins?,Proteins forming microvillus cores,Proteins forming a lattice-like nuclear lamina,Lipids forming the mitochondrial inner membrane,Lysosomal hydrolases,2,,The nuclear lamina slide describes a lattice-like network of proteins that includes lamins.
What is one role of lamins in relation to chromatin?,They digest chromatin in lysosomes,They convert chromatin to glycogen,They transport chromatin through aquaporins,They attach chromatin to the inner nuclear membrane,4,,The slides state that lamins attach chromatin to the inner membrane of the nuclear envelope.
Which functions are assigned to the nuclear lamina in the slides? Select all that apply.,Anchoring interphase heterochromatin,Maintenance of nuclear shape,Synthesis of bile acids,Spatial organization of nuclear pores,"1,2,4",,"The slides list nuclear-shape maintenance, pore organization, transcriptional regulation, heterochromatin anchoring, and roles in DNA replication."
What is the primary role of the nucleolus?,rRNA synthesis and ribosome assembly,ATP synthesis,Phospholipid synthesis,Endocytosis,1,,The slides identify the nucleolus as the site of rRNA synthesis and ribosome assembly.
Which nucleolar region contains ribosomal precursor particles in various stages of assembly?,Nuclear envelope,Fibrillar center,Granular zone,Heterochromatin only,3,,The slides describe the granular zone at the nucleolar periphery as containing ribosomal precursor particles.
Which nucleolar region contains ribonucleoprotein fibrils?,Nuclear pore,Fibrillar zone,Centromere,Granular zone only,2,,The slides state that the centrally located fibrillar zone contains ribonucleoprotein fibrils.
Which nucleolar region contains DNA that is not being transcribed according to the slides?,Golgi trans face,Cytosol,Granular zone,Fibrillar center,4,,The fibrillar center is described as containing DNA that is not being transcribed.
Chromatin consists of which three broad components in the slides?,"DNA, histone proteins, and nonhistone proteins","RNA, phospholipids, and collagen","Actin, myosin, and elastin","Glycogen, tubulin, and cholesterol",1,,"The slides define chromatin as a complex of DNA, histones, and nonhistone proteins."
What electrical property is emphasized for histone proteins?,They are electrically neutral lipids,They are strongly negatively charged,They are positively charged,They are carbohydrates with no charge,3,,The slides describe histones as positively charged proteins.
Which amino acids are histones described as being rich in?,Glycine and tryptophan,Lysine and arginine,Glutamate and aspartate only,Methionine and cysteine only,2,,The slides state that histone proteins are rich in lysine and arginine.
What is a major role of nonhistone chromatin proteins according to the slides?,They form the phospholipid bilayer,They serve as lysosomal acid hydrolases,They synthesize triglycerides,"They include enzymes for replication, transcription, DNA repair, and regulation",4,,"The slides list replication, transcription, repair, and regulatory enzymes among nonhistone proteins."
Which forms of DNA are explicitly listed in the chromatin slide?,"B-DNA, Z-DNA, and A-DNA","A-RNA, B-RNA, and Z-RNA","G-actin, F-actin, and myosin","COPI, COPII, and clathrin",1,,"The chromatin slide lists B, Z, and A forms of DNA."
How is heterochromatin characterized in the slides?,Extended and highly transcriptionally active,Composed only of RNA,Highly condensed and transcriptionally inactive,Membrane-bound and acidic,3,,The slides characterize heterochromatin as highly condensed and transcriptionally inactive.
How is euchromatin characterized in the slides?,Composed only of histones,More extended and transcriptionally active,Highly condensed and inactive,Located only in mitochondria,2,,"The slides describe euchromatin as a more extended, transcriptionally active form of DNA."
"According to the slide percentages, what fraction of total chromatin is heterochromatin?",About 90%,About 1%,About 50%,About 10%,4,,The slides state that approximately 10% of total chromatin is heterochromatin.
"According to the slide percentages, what fraction of total chromatin is euchromatin?",About 90%,About 50%,About 25%,About 10%,1,,The slides state that approximately 90% of total chromatin is euchromatin.
"According to the slides, approximately what fraction of total chromatin is actively transcribed at a given time?",About 90%,None of the chromatin,About 10%,All chromatin,3,,The slides state that only about 10% of total chromatin is actively transcribed.
In which nuclear structure is DNA actively transcribed to rRNA?,Nuclear envelope,Nucleolus,Nuclear lamina,Nuclear pore,2,,The slide question identifies the nucleolus as the nuclear structure where rRNA transcription occurs.
What pH value is given for cytoplasm in the slides?,Approximately 10.5,Approximately 5.0,Approximately 2.0,Approximately 7.35,4,,The cytoplasm slide describes the cytoplasm as a homogeneous colloid with a pH of 7.35.
Approximately what percentage of the cytoplasm is water according to the slides?,70%,95%,10%,30%,1,,The cytoplasm slide states that water accounts for about 70%.
What contributes with microfilaments to sol-gel transformation of the cytoplasm?,Cholesterol in the nuclear envelope,Mitochondrial DNA only,High protein content,Acid hydrolases,3,,The slide states that high protein content together with microfilaments contributes to sol-gel transformation.
Which of the following is classified as a membranous organelle in the slides?,Microtubule,Golgi apparatus,Centriole,Ribosome,2,,The slides list Golgi apparatus among membranous organelles.
Which of the following is classified as non-membranous in the slides?,Mitochondrion,Lysosome,Peroxisome,Ribosome,4,,Ribosomes are listed among non-membranous structures.
Which structures are listed as cytoplasmic inclusions in the slides? Select all that apply.,Melanin,Rough endoplasmic reticulum,Glycogen,Lipid droplets,"1,3,4",,"The slide list includes lipid droplets, glycogen, melanin, lipofuscin, crystals, and hemosiderin as cytoplasmic inclusions."
How do inclusions differ from organelles according to the textbook summary?,Inclusions are not metabolically active and often serve as storage sites or deposits,Inclusions contain ribosomal RNA and synthesize proteins,Inclusions perform oxidative phosphorylation,Inclusions always have double membranes,1,,The textbook distinguishes inclusions from metabolically active organelles and describes them mainly as storage sites or deposits.
Which pigment is also referred to as a residual-body material in the textbook summary?,Cardiolipin,Bilirubin only,Lipofuscin,Clathrin,3,,"The textbook notes residual bodies can contain lipofuscin, a pigment that may accumulate with age or lysosomal digestion."
What are ribosomes composed of?,Actin and myosin,rRNA and protein,Glycogen and lipid,DNA and cholesterol,2,,The slides describe ribosomes as complexes of ribosomal RNA and proteins.
What are the eukaryotic ribosomal subunits listed in the slides?,25S and 15S,50S and 30S,80S and 20S,60S and 40S,4,,The slides identify a large 60S subunit and a small 40S subunit.
What is a polysome?,A single mRNA translated simultaneously by several ribosomes,A stack of Golgi cisternae,A bundle of intermediate filaments,A cluster of lysosomes digesting one bacterium,1,,The slides define a polysome as multiple ribosomes translating one mRNA.
In what direction do ribosomes move along mRNA during translation?,Randomly in both directions,From the 3' end toward the 5' end,From the 5' end toward the 3' end,From the nucleus toward the plasma membrane without using mRNA,3,,The slides explicitly state that ribosomes move on mRNA from 5' toward 3'.
An abundance of polyribosomes tends to produce what staining property in the cytoplasm with H&E?,Silver staining only,Basophilia,Complete absence of staining,Strong eosinophilia due to collagen,2,,The textbook notes that abundant polyribosomes contribute to basophilic cytoplasm because of their RNA.
Proteins synthesized on free polysomes are commonly destined for which locations?,Only extracellular secretion,Only lysosomal lumens,Only the Golgi trans face,"The cytosol and certain organelles such as the nucleus, mitochondria, and peroxisomes",4,,The textbook figure contrasts free polysomes with ER-bound polysomes and shows free-polysome products remaining cytosolic or being imported into selected organelles.
Proteins entering the RER pathway commonly contain what at the beginning of translation?,A signal peptide,A histone octamer,A lysosomal residual body,A glycogen granule,1,,The textbook states that proteins processed through the RER contain initial signal peptides that localize translation to the ER.
What binds the signal peptide during targeting of a translating ribosome to rough ER?,Dynein,Clathrin,Signal recognition particle (SRP),Desmin,3,,The textbook figure and text describe SRP binding to the signal peptide and directing the ribosome toward the RER membrane.
Which protein is most likely to have used an SRP-dependent signal peptide during translation?,A nuclear lamin,A protein stored in a secretory granule,A cytosolic glycolytic enzyme,F-actin,2,,The textbook assessment identifies secretory-granule proteins as products that enter the RER/secretory pathway via signal-peptide targeting.
Which destinations are associated with proteins synthesized on RER-bound ribosomes? Select all that apply.,The cytosol as an unprocessed soluble protein,Lysosomes,Plasma membrane,Secretion outside the cell,"2,3,4",,"The slides state that RER synthesizes proteins destined for the Golgi, secretion, plasma membrane, and lysosomes."
How is rough endoplasmic reticulum organized structurally in the slides?,As nine triplets of microtubules,As a double membrane with cristae,As a carbohydrate coat outside the cell,As membrane cisternae with ribosomes on the cytoplasmic surface,4,,The slides describe RER as a single-bilayer membrane system organized into cisternae and associated with ribosomes.
Which cell type is given as an example of a cell rich in rough ER?,Pancreatic acinar cell,White adipocyte,Chondrocyte only,Mature erythrocyte,1,,The RER slide gives pancreatic acinar cells as a classic example because of their high protein-secretory activity.
Why is rough ER especially abundant in actively protein-secreting cells?,It forms mitochondrial cristae,It stores all cellular glycogen,It synthesizes and begins processing proteins destined for secretion and the endomembrane system,It generates the mitotic spindle,3,,"RER-bound polysomes synthesize proteins for secretion, plasma membrane, Golgi processing, and lysosomes."
What is one major quality-control function of rough ER described in the textbook?,It directly replicates nuclear DNA,Molecular chaperones and enzymes monitor folding and modification of newly translocated proteins,It digests phagocytosed bacteria,It destroys all mRNA after one round of translation,2,,The textbook explains that proteins in RER cisternae undergo folding and posttranslational modification monitored by chaperones and enzymes.
