Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
"Which GAG is listed in the lecture as being found in umbilical cord, synovial fluid, vitreous humor, and cartilage?",Hyaluronic acid,Dermatan sulfate,Keratan sulfate,Heparan sulfate,1,,The lecture specifically lists hyaluronic acid in those locations.
Which GAG is associated with tendons on the lecture distribution table?,Chondroitin sulfate,Heparan sulfate,Dermatan sulfate,Hyaluronic acid,3,,Dermatan sulfate is listed in tendons on the lecture slide; the textbook also places it in skin and aortic adventitia.
"Which GAG is listed in aorta, lung, liver, and basal lamina?",Hyaluronic acid,Dermatan sulfate,Heparan sulfate,Keratan sulfate,3,,"Heparan sulfate is distributed in the aorta, lung, liver, and basal laminae in the assigned material."
Which GAG is associated with the nucleus pulposus and annulus fibrosus?,Heparan sulfate,Dermatan sulfate,Hyaluronic acid,Keratan sulfate,4,,"Keratan sulfate is listed in the nucleus pulposus and annulus fibrosus, as well as cartilage in the textbook."
"Which GAG is listed with bone, cornea, skin, notochord, and aorta?",Chondroitin sulfate,Keratan sulfate,Heparan sulfate,Dermatan sulfate,1,,Chondroitin sulfate is the GAG associated with these sites in the lecture table.
Proteoglycans such as aggrecan and perlecan are built around which central structural component?,An elastin sheet,A core protein,A collagen fibril,A phospholipid bilayer,2,,Proteoglycans consist of a core protein to which sulfated GAG chains are covalently attached.
Which pair is specifically named in the lecture as examples of proteoglycans?,Elastin and fibrillin,Collagen I and collagen II,Aggrecan and perlecan,Fibronectin and laminin,3,,Aggrecan and perlecan are highlighted as proteoglycans in the lecture.
Which proteoglycan is especially abundant and important in articular cartilage?,Aggrecan,Perlecan,Fibronectin,Syndecan,1,,The textbook identifies aggrecan as a very large proteoglycan that is especially important in articular cartilage.
Which proteoglycan is identified as a key component of basal laminae?,Perlecan,Decorin,Aggrecan,Tenascin,1,,Perlecan is described as a key proteoglycan of basal laminae.
Which molecule directly links aggrecan proteoglycans into very large extracellular complexes?,Type IV collagen,Elastin,Hyaluronan,Actin,3,,"Aggrecan binds to long hyaluronan chains through link proteins, producing very large hydrated proteoglycan complexes."
Which multiadhesive glycoprotein is emphasized as a major component of basal and external laminae and binds integrins and type IV collagen?,Chondronectin,Osteonectin,Fibronectin,Laminin,4,,"Laminin binds integrins, type IV collagen, and proteoglycans and is essential for basal and external lamina organization."
Which multiadhesive glycoprotein is described as forming insoluble fibrillar networks throughout connective tissue and aiding cell adhesion and migration?,Fibronectin,Aggrecan,Entactin,Elastin,1,,"Fibronectin has binding sites for collagen, some GAGs, and integrins and supports cell adhesion and migration through the ECM."
Which list contains only multiadhesive glycoproteins named in the lecture?,"Hyaluronan, chondroitin, keratan, dermatan","Fibronectin, laminin, entactin, tenascin","Aggrecan, perlecan, decorin, syndecan","Collagen I, collagen III, elastin, fibrillin",2,,"Fibronectin, laminin, entactin, tenascin, chondronectin, and osteonectin are listed as multiadhesive glycoproteins."
What is the main role of integrins in the assigned chapter?,They degrade GAGs inside lysosomes,They synthesize collagen inside the RER,They form the lipid droplets of adipocytes,ECM receptors that bind matrix ligands,4,,Integrins are transmembrane receptors that bind extracellular ligands such as laminin and fibronectin and connect them to intracellular structures.
What are focal adhesions?,Mast-cell granules containing histamine,Lysosomal storage inclusions for GAGs,ECM-actin attachment sites,Collagen cross-links formed by lysyl oxidase,3,,Focal adhesions are integrin-rich attachment sites where the extracellular matrix is mechanically linked to actin-containing stress fibers.
Which property of GAGs most directly explains their strong water-binding ability?,Disulfide cross-linking,Extensive hydrophobicity,Lack of sugar residues,High negative charge,4,,"Carboxyl and sulfate groups give GAGs strong negative charge, attracting cations and water and contributing to hydration and cushioning."
Multi-select: Which statements about sulfated GAGs are supported by the textbook?,"They include dermatan, chondroitin, keratan, and heparan sulfates",They are components of proteoglycans,They are all synthesized directly at the plasma membrane,They are generally synthesized in the Golgi,"1,2,4",,The sulfated GAGs are assembled in the Golgi and attached to proteoglycan core proteins. Hyaluronan is the notable GAG synthesized directly at the cell membrane.
Which ground-substance property helps resist bacterial penetration?,Myelin production,High viscosity,Electrical excitability,Sarcomere formation,2,,The high viscosity of hyaluronan- and proteoglycan-rich ground substance forms a barrier that can limit tissue penetration.
A bacterium producing hyaluronidase would be expected to do what to connective-tissue ground substance?,Increase collagen cross-linking,Block mast-cell degranulation,Stimulate elastin synthesis,Reduced viscosity from hyaluronan breakdown,4,,"Hyaluronidase hydrolyzes hyaluronan, reducing matrix viscosity and making tissue invasion easier."
Which pressure primarily pushes water out of capillaries into connective tissue?,Elastic recoil pressure,Colloid osmotic pressure,Hydrostatic pressure,Intracellular osmotic pressure,3,,Capillary hydrostatic pressure generated by blood pressure pushes fluid outward across the capillary wall.
Which force tends to pull water back into capillaries?,Plasma-protein osmotic pressure,Tissue hydrostatic pressure only,Mast-cell degranulation,Lysyl oxidase activity,1,,"Plasma proteins, especially albumin, generate colloid osmotic pressure that draws water back into capillaries."
What normally removes excess interstitial fluid that is not reabsorbed into capillaries?,Reticular fibers,Adipocytes,Mast-cell granules,Lymphatic capillaries,4,,Excess interstitial fluid drains into lymphatic capillaries and is eventually returned to the bloodstream.
What is edema?,Inflammatory destruction of elastic fibers,Abnormal accumulation of collagen fibrils,Loss of all ground substance,Excessive accumulation of interstitial fluid,4,,"Edema is excessive accumulation of interstitial fluid in connective tissue, producing swelling."
Multi-select: Which disorders are named in the textbook as examples of conditions caused by deficiencies of lysosomal enzymes that degrade GAGs?,Hurler syndrome,Marfan syndrome,Sanfilippo syndrome,Hunter syndrome,"1,3,4",,"Hurler, Hunter, Sanfilippo, and Morquio syndromes are named as GAG-degradation disorders. Marfan syndrome is linked instead to fibrillin defects."
Which connective-tissue fiber is described in the lecture as the dominant fiber that adds strength?,Oxytalan fiber,Elastic fiber,Collagen fiber,Reticular fiber,3,,Collagen is the dominant connective-tissue fiber and is responsible for much of the tissue's tensile strength.
Approximately what thickness range is given for collagen fibers in the lecture?,1-10 μm,50-100 μm,0.01-0.05 μm,20-90 μm,1,,The lecture states that collagen fibers are approximately 1 to 10 μm thick.
What structural feature defines a collagen molecule?,Single coiled beta sheet,Tetramer of actin monomers,A three-chain triple helix,Bilayer of phospholipids,3,,Collagen molecules are built from three alpha chains wound together in a triple helix.
Which collagen type is most abundant and widely distributed?,Type III,Type IV,Type I,Type II,3,,"Type I collagen is the most abundant collagen and forms large fibrils and fibers in tissues such as skin, tendon, bone, and dentin."
Which collagen type is most characteristic of hyaline and elastic cartilage?,Type I,Type II,Type III,Type IV,2,,Type II collagen is the principal fibrillar collagen associated with cartilage.
Which collagen type forms the core of reticular fibers?,Type I,Type III,Type V,Type II,2,,Reticular fibers are made mainly of type III collagen.
Which collagen type is a major component of basal lamina and does not form ordinary fibers?,Type III,Type II,Type I,Type IV,4,,Type IV collagen forms a sheetlike network in basal and external laminae rather than typical fibrils and fibers.
Which collagen type is listed in fetal membranes and some small vessels on the lecture slide?,Type II,Type V,Type IV,Type VII,2,,The lecture associates type V collagen with fetal membranes and some small vessels.
Which collagen type is associated with structural maintenance in expansible organs and is commonly found with type I collagen?,Type X,Type IV,Type III,Type II,3,,"Type III collagen often occurs with type I and helps support expansible tissues, including vessels and many reticular frameworks."
Multi-select: Which locations are listed for type I collagen in the assigned sources?,Bone,Tendon,Dentin,Basal lamina,"1,2,3",,"Type I collagen is found in tendon, bone, dentin, skin/dermis, and organ capsules. Basal lamina is associated primarily with type IV collagen."
What is the first major intracellular organelle associated with synthesis of procollagen alpha chains?,Rough ER,Peroxisome,Smooth endoplasmic reticulum,Lysosome,1,,Procollagen alpha chains are synthesized on ribosomes associated with the rough endoplasmic reticulum.
Hydroxylation of proline and lysine residues during collagen synthesis occurs primarily in which organelle?,Extracellular space,Rough ER,Golgi apparatus,Nucleus,2,,"The hydroxylation step occurs in the ER before secretion and requires oxygen, iron, and vitamin C."
Which vitamin is required as a cofactor for collagen hydroxylation in the assigned chapter?,Vitamin C,Vitamin D,Vitamin B12,Vitamin K,1,,Vitamin C is required for hydroxylation of proline and lysine residues during collagen synthesis.
"After hydroxylation, some hydroxylysine residues undergo which modification?",Acetylation,Phosphorylation,Methylation,Glycosylation,4,,Some hydroxylysine residues are glycosylated before the triple helix is fully assembled.
What happens to three selected collagen alpha chains in the RER?,They are cleaved into elastin fragments,They polymerize into actin filaments,They align into triple-helical procollagen,They become plasma-membrane receptors,3,,"Three alpha chains align, are stabilized at their C-terminal regions, and fold into the characteristic procollagen triple helix."
What is the first major extracellular event after procollagen secretion?,Hydroxylation of proline residues,Cleavage of terminal propeptides,Formation of mRNA,Packaging into Golgi vesicles,2,,"Once procollagen is secreted, procollagen peptidases remove nonhelical terminal regions, allowing collagen molecules to assemble into fibrils."
Which enzyme catalyzes covalent cross-linking that reinforces collagen fibrils?,Adenylate cyclase,Hyaluronidase,Lysyl oxidase,Elastase,3,,Lysyl oxidase catalyzes formation of covalent cross-links that strengthen collagen fibrils.
What periodicity produces the characteristic banding pattern of type I collagen fibrils?,67 nm,1.5 μm,300 μm,7 nm,1,,Staggered collagen molecules create repeating 67-nm bands visible by electron microscopy.
What is the approximate length of a type I collagen molecule described in the textbook?,67 μm,30 nm,3 μm,300 nm,4,,Each type I collagen molecule is approximately 300 nm long.
Which enzyme class initiates collagen degradation during ECM remodeling?,MMPs,Phospholipases,DNA polymerases,Kinases,1,,Collagenases are members of the matrix metalloproteinase family and initiate collagen breakdown during tissue remodeling.
A 10-year-old boy develops normal granulation tissue after appendectomy. Which protein class is most directly responsible for degrading collagen during later ECM remodeling?,MMPs,Nitric oxide synthases,Cytokines,Lipoxygenases,1,,The lecture vignette identifies metalloproteinases as the enzymes responsible for collagen degradation during granulation-tissue remodeling.
Which cells are emphasized as a major source of MMPs during tissue repair?,Adipocytes,Macrophages,Plasma cells,Erythrocytes,2,,Macrophages secrete matrix metalloproteinases that participate in extracellular-matrix remodeling.
Which stain-related property is characteristic of reticular fibers?,Strongly acid-fast,Metachromatic only,Sudan-positive,Silver-binding and PAS-positive,4,,"Reticular fibers bind silver salts and are PAS-positive, reflecting their relatively high carbohydrate content."
What is the typical diameter range given for reticular fibers?,5-20 μm,10-50 μm,0.5-2 μm,20-90 nm,3,,The lecture gives reticular-fiber diameters of approximately 0.5 to 2 μm.
Which organ set is specifically emphasized as rich in reticular fibers?,"Spleen, lymph nodes, liver","Tendon, ligament, cornea","Aorta, trachea, bladder","Bone, dentin, enamel",1,,"The lecture highlights spleen, lymph nodes, and liver as organs supported by reticular-fiber networks."
Why are reticular fibers well suited for lymphoid and hematopoietic organs?,They store triglyceride droplets,A delicate mesh supporting changing cell populations,They create rigid parallel bundles that resist one-direction stress,They form impermeable sheets around cells,2,,Reticular fibers form a flexible mesh that supports changing populations of immune and blood-forming cells.
Which two proteins are the principal components of elastic fibers?,Elastin and fibrillin,Aggrecan and hyaluronan,Fibronectin and entactin,Collagen I and laminin,1,,Elastic fibers are composite structures with fibrillin microfibrils forming a scaffold and elastin providing most of the elastic mass.
What is the main structural role of fibrillin in elastic-fiber formation?,Fibrillin scaffold for elastin deposition,It cross-links collagen fibrils,It produces ATP in brown fat,It hydrolyzes hyaluronan,1,,Fibrillin forms the early microfibrillar scaffold on which elastin is deposited.
Which cross-link is specifically associated with elastin?,Peptide bond between GAGs,Cadherin junction,Desmosine,Disulfide bridge in collagen IV only,3,,Desmosine cross-links are formed from lysine residues and help stabilize the stretchable elastin network.
Which enzyme contributes to elastin cross-link formation?,Hyaluronan synthase,Collagenase,Lysyl oxidase,Procollagen peptidase,3,,Lysyl oxidase participates in conversion of elastin lysines into cross-linking structures that include desmosine.
Which fiber type is found in the zonule of the eye according to the lecture?,Type I collagen bundles,Oxytalan fibers,Elaunin fibers,Reticular fibers,2,,The lecture lists oxytalan fibers in the zonule fibers of the eye.
Which elastic-fiber form is listed around sweat glands and in dermis?,Reticular fibers,Sharpey fibers,Elaunin fibers,Oxytalan fibers,3,,The lecture associates elaunin fibers with sweat glands and dermis.
Multi-select: Which statements about elastic fibers are supported by the assigned material?,Elastin becomes the major central component,Fibrillin forms peripheral microfibrils,They are made mainly of type III collagen,They allow reversible stretch and recoil,"1,2,4",,Elastic fibers combine fibrillin microfibrils with elastin and permit stretch and recoil. Type III collagen instead forms reticular fibers.
"Which connective-tissue cell is the main producer of collagen, elastin, reticular fibers, GAGs, proteoglycans, and glycoproteins?",Neutrophil,Plasma cell,Mast cell,Fibroblast,4,,Fibroblasts are the major matrix-producing cells in connective tissue proper.
Which morphology is most consistent with an active fibroblast?,Multilobed nucleus packed with granules,Eccentric clock-face nucleus and antibody secretion,Euchromatic nucleus with abundant RER and Golgi,Small heterochromatic nucleus with scant RER,3,,"Active fibroblasts show abundant synthetic organelles and an open, euchromatic nucleus because they are producing large amounts of ECM."
Which term is often used for a relatively quiescent fibroblast?,Monocyte,Fibrocyte,Histiocyte,Lipoblast,2,,"Some histologists use fibrocyte for the smaller, less active fibroblast with reduced RER and a darker nucleus."
Which specialized fibroblast-like cell contributes to wound contraction?,Plasma cell,Myofibroblast,Adipocyte,Mast cell,2,,Myofibroblasts combine fibroblast-like matrix functions with contractile actin and myosin and help contract wounds.
Which statement best describes adipose tissue in the lecture?,A reticular tissue made only of macrophages,An epithelial tissue specialized for lipid export,A dense regular tissue composed of chondrocytes,Loose connective tissue rich in adipocytes,4,,The lecture describes adipose tissue or fat as loose connective tissue composed of adipocytes.
Which precursor is named in the lecture for adipocytes?,Mast-cell progenitor,Monocyte,Lipoblast,Reticular cell,3,,The lecture states that adipose tissue is derived from lipoblasts.
Which is a major function of adipose tissue listed in the lecture?,Storage of triglycerides,Digestion of bone matrix,Production of immunoglobulin,Formation of basal lamina,1,,Adipose tissue serves as the body's largest repository of energy in the form of triglycerides.
Which additional functions of adipose tissue are listed in the lecture?,"Antibody synthesis, phagocytosis, chemotaxis","Bone resorption, mineralization, filtration","Mucus secretion, ciliary movement, absorption","Body shaping, shock absorption, thermal insulation",4,,"The lecture lists shaping the body, acting as a shock absorber, and providing thermal insulation."
A mature unilocular adipocyte typically contains which lipid arrangement?,No lipid droplets,One large central lipid droplet,A lipid droplet inside the nucleus,Many small lipid droplets,2,,Unilocular adipocytes contain one dominant lipid droplet that pushes the nucleus to the cell periphery.
What nuclear appearance is typical of a unilocular adipocyte?,Eccentric and flattened,Central and multilobed,Clock-face and central,Horseshoe-shaped and basophilic,1,,The large lipid droplet displaces and flattens the nucleus against the cell edge.
Which feature best distinguishes brown adipocytes from unilocular adipocytes in the lecture?,Multiple droplets with abundant mitochondria,One giant lipid droplet and sparse mitochondria,Absence of vascular supply,Lack of sympathetic innervation,1,,"Brown adipocytes are multilocular and mitochondria-rich, fitting their role in heat production."
Which mitochondrial protein is specifically named in brown adipose tissue?,Fibronectin,Collagenase,Thermogenin,Laminin,3,,The lecture names thermogenin in the inner mitochondrial membrane of brown adipocytes.
Which statement about brown adipose tissue is supported by the lecture?,Its nuclei are flattened at the periphery,It is poorly vascularized,Its cells are larger than white adipocytes,It receives direct sympathetic innervation,4,,Brown adipose tissue is richly vascularized and directly sympathetically innervated; its cells are smaller and have central spherical nuclei.
Multi-select: Which features describe brown adipose tissue in the lecture?,Single giant lipid droplet,Rich capillary supply,Central spherical nuclei,Many lipid droplets,"2,3,4",,"Brown fat has many droplets, abundant mitochondria, rich vascularization, and central nuclei. A single giant droplet characterizes unilocular adipocytes."
Which blood cell is the precursor of a tissue macrophage?,Eosinophil,B lymphocyte,Monocyte,Neutrophil,3,,Monocytes circulate in blood and differentiate into macrophages after entering connective tissue.
Which macrophage feature is closely related to active phagocytosis?,"Ruffled surface, vacuoles, and lysosomes",Clock-face nucleus with abundant RER,Dense parallel collagen bundles,Single central lipid droplet,1,,"Macrophages have membrane protrusions and indentations, phagocytic vacuoles, and numerous lysosomes for engulfing and digesting material."
Which is a major macrophage function emphasized in both lecture and textbook?,Triglyceride storage,Elastin cross-linking,Phagocytosis plus cytokine release,Antibody production,3,,Macrophages phagocytose debris and microorganisms and secrete cytokines and other mediators involved in inflammation and repair.
Which macrophage-related event may occur with strong stimulation?,Fusion into multinucleated giant cells,Differentiation into plasma cells,Formation of collagen fibrils,Conversion into adipocytes,1,,"Strongly stimulated macrophages can enlarge and fuse to form multinucleated giant cells, especially in pathologic conditions."
Which location-specific macrophage name is correctly matched?,Alveolar macrophage—bone,Osteoclast—lung,Kupffer cell—liver,Microglia—kidney,3,,"Kupffer cells are liver macrophages. The sources associate microglia with CNS, osteoclasts with bone, and alveolar macrophages with lungs."
Multi-select: Which location-specific macrophage names are listed in the lecture?,Osteoclasts in bone,Kupffer cells in liver,Microglia in CNS,Plasma cells in kidney,"1,2,3",,"The lecture lists Kupffer cells, microglia, osteoclasts, alveolar macrophages, and mesangial cells among location-associated macrophage names. Plasma cells are antibody-producing B-cell derivatives."
Which cell is derived from activated B lymphocytes and specializes in immunoglobulin secretion?,Plasma cell,Macrophage,Fibroblast,Mast cell,1,,Plasma cells are B-lymphocyte-derived cells specialized for antibody production.
Which organelle combination is especially prominent in plasma cells?,Centrioles and cilia,RER and Golgi apparatus,Smooth ER and peroxisomes,Lysosomes and lipid droplets,2,,"Plasma cells synthesize and process large quantities of antibody, so RER and Golgi apparatus are especially prominent."
What nuclear pattern is classically described in plasma cells in the textbook?,Peripheral chromatin in a clock-face pattern,Multilobed segmented nucleus,No visible chromatin pattern,Flattened peripheral nucleus from one lipid droplet,1,,"Plasma-cell nuclei often show peripheral heterochromatin alternating with lighter areas, producing a clock-face pattern."
What average life span is given for plasma cells in the assigned material?,Several decades,6-8 months,10-20 days,1-2 hours,3,,The lecture and textbook state an average plasma-cell life span of about 10 to 20 days.
Which histologic feature is characteristic of mast cells?,Basophilic metachromatic granules,Parallel collagen bundles,One central lipid droplet,Clock-face nucleus without granules,1,,Mast cells are large connective-tissue cells filled with coarse basophilic granules that show metachromasia.
Which mast-cell product increases vascular permeability?,Type IV collagen,Aggrecan,Collagen,Histamine,4,,Histamine released from mast cells promotes increased vascular permeability and contributes to swelling during inflammation.
Which mast-cell product acts locally as an anticoagulant?,Heparin,Keratan sulfate,Fibronectin,Elastin,1,,Heparin is a sulfated GAG stored in mast-cell granules and acts locally as an anticoagulant.
Which mast-cell product is specifically abbreviated ECF-A in the assigned material?,Eosinophil chemotactic factor,Elastic cross-linking factor A,Extracellular fluid activator,Endothelial collagen-forming agent,1,,ECF-A stands for eosinophil chemotactic factor of anaphylaxis and helps recruit eosinophils.
Which lipid mediator is specifically listed among mast-cell products?,Cholesterol only,Triglycerides,Leukotrienes,Procollagen,3,,"The lecture lists leukotrienes, also labeled SRS-A, among mast-cell products."
Where are mast cells especially numerous according to the textbook?,Inside erythrocytes,Perivascular skin and mucosal connective tissue,Inside mature cartilage lacunae,Only in dense regular tendons,2,,"Mast cells are strategically located near vessels and in skin, digestive, and respiratory connective tissues."
What happens during the first exposure to an allergen in the immediate hypersensitivity sequence?,Collagen is degraded by MMPs,Massive histamine release occurs immediately without sensitization,IgE is produced and binds mast-cell receptors,Brown fat releases thermogenin,3,,"The first exposure induces production of allergen-specific IgE, which binds receptors on mast cells and sensitizes them."
What event triggers mast-cell degranulation on re-exposure to the allergen?,Proteoglycan sulfation,Cross-linking of mast-cell IgE,Loss of integrins,Hydroxylation of collagen,2,,"Re-exposure allows the allergen to cross-link adjacent IgE-receptor complexes, initiating signaling and rapid granule exocytosis."
The lecture image showing allergens binding IgE beneath the skin is associated with which visible response?,Bone fractures and blue sclerae,Aortic dissection without skin changes,"Redness, itching, and swelling",Paralysis and muscle wasting,3,,"The lecture figure illustrates mast-cell mediator release causing redness, itching, and swelling consistent with urticarial-type skin reactions."
Multi-select: Which mediators are directly listed as mast-cell products in the lecture?,Histamine,Type I collagen,ECF-A,Heparin,"1,3,4",,"The lecture lists histamine, heparin, ECF-A, and leukotrienes. Type I collagen is synthesized mainly by fibroblasts, not stored as a mast-cell mediator."
Which classic inflammatory sign is primarily related to increased vascular permeability causing fluid accumulation?,Clock-face nucleus,Luxation,Swelling,Arachnodactyly,3,,"Increased vascular permeability allows plasma fluid to enter connective tissue, producing edema and swelling."
Which process attracts specific leukocytes toward molecules released in inflamed tissue?,Phagosome exocytosis,Glycosylation,Cross-linking,Chemotaxis,4,,Chemotaxis is directed movement of cells toward specific chemical signals and helps recruit leukocytes into inflamed connective tissue.
Which cell type is summarized in the textbook as a phagocyte of bacteria?,Fibroblast,Neutrophil,Adipocyte,Plasma cell,2,,Neutrophils are transient leukocytes whose major listed function is phagocytosis of bacteria.
Loose connective tissue is typically characterized by which combination?,"Many cells, ample ground substance, loose fibers",No fibroblasts and no immune cells,Very little ground substance and densely parallel collagen,Only type III collagen and no vessels,1,,"Loose connective tissue contains many cells, fibers, and substantial ground substance, with collagen arranged loosely rather than densely."
Where is loose connective tissue commonly found?,Only in tendons,Only in the aortic media,Only inside bone marrow cavities,Lamina propria beneath epithelia,4,,"Loose connective tissue commonly forms the lamina propria beneath epithelial linings and also fills spaces around vessels, muscle, and nerves."
Dense irregular connective tissue is best identified by which feature?,Numerous adipocytes with single droplets,Only elastic lamellae,Parallel rows of collagen with aligned fibroblasts,Randomly interwoven collagen bundles,4,,"Dense irregular connective tissue contains abundant type I collagen arranged in many directions, allowing resistance to multidirectional stress."
Which location is a classic example of dense irregular connective tissue?,Tendon,Bone marrow,Umbilical cord,Deep dermis,4,,The deep dermis and organ capsules are classic examples of dense irregular connective tissue.
Dense regular connective tissue resists stress most effectively from which pattern of force?,Repeated stress in one direction,Only compressive force in cartilage,Only fluid pressure,Equal force from all directions,1,,"Parallel collagen bundles align with the dominant force direction, giving dense regular tissue exceptional tensile strength along one axis."
Which structure is composed largely of dense regular connective tissue?,Lymph node stroma,Tendon,Deep dermis,Wharton's jelly,2,,Tendons and ligaments are major examples of dense regular connective tissue.
Why do tendons and ligaments generally repair slowly according to the textbook?,They are composed entirely of adipocytes,They contain no collagen,They are poorly vascularized,They lack fibroblasts,3,,"Dense regular connective tissues have relatively few blood vessels, limiting delivery of nutrients and reparative cells."
Multi-select: Which structures are examples of dense regular connective tissue in the textbook?,Tendons,Deep dermis,Aponeuroses,Ligaments,"1,3,4",,"Tendons, ligaments, and aponeuroses are dense regular connective tissue. Deep dermis is dense irregular connective tissue."
What is the main collagen type in reticular tissue?,Type IV,Type III,Type II,Type I,2,,Reticular tissue is built from a delicate network of type III collagen fibers.
Which tissue provides a framework for bone marrow and many lymphoid organs?,Unilocular adipose tissue,Mucoid tissue only,Dense regular connective tissue,Reticular tissue,4,,"Reticular tissue forms a supportive meshwork for blood-forming and immune cells in bone marrow, spleen, and lymph nodes."
What is Wharton's jelly?,Dense regular connective tissue in tendon,Elastic tissue of the aorta,Reticular tissue of spleen,Mucoid CT of the fetal umbilical cord,4,,Wharton's jelly is the gelatinous mucoid connective tissue of the umbilical cord.
Which matrix component is especially abundant in mucoid connective tissue?,Hyaluronan-rich matrix,Elastic lamellae,Parallel type I collagen bundles,Keratin filaments,1,,"Mucoid connective tissue has abundant ground substance rich in hyaluronan, sparse collagen, and scattered fibroblastic cells."
Which statement best distinguishes dense irregular from dense regular connective tissue?,Dense irregular is embryonic; dense regular is epithelial,Dense irregular has no collagen; dense regular has only elastin,Dense irregular contains only adipocytes; dense regular only macrophages,Random collagen vs parallel collagen,4,,The key distinction is collagen orientation: multidirectional in dense irregular and strongly parallel in dense regular tissue.
